,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_5,utilization_rate_5,delivery_rate_5,num_risks_5,unique_id_5,seed_5,requests_per_hour_5,execution_time_5,num_delivered_6,utilization_rate_6,delivery_rate_6,num_risks_6,unique_id_6,seed_6,requests_per_hour_6,execution_time_6,num_delivered_7,utilization_rate_7,delivery_rate_7,num_risks_7,unique_id_7,seed_7,requests_per_hour_7,execution_time_7,num_delivered_8,utilization_rate_8,delivery_rate_8,num_risks_8,unique_id_8,seed_8,requests_per_hour_8,execution_time_8,num_delivered_9,utilization_rate_9,delivery_rate_9,num_risks_9,unique_id_9,seed_9,requests_per_hour_9,execution_time_9,sequential_execution_time,execution_time
0,150,15.0,12,0,11,16,19,21,17,21,19,20,10,17,11,21,13,21,16,17,18,21,19,21,13.916666666666668,17.683333333333334,0.9674593783068783,0.17683333333333334,0.3689323936863106,0.11666666666666682,0.008238906226119547,0.001166666666666669,10,17.666666666666668,0.9703059854497355,0.17666666666666667,13.916666666666666,0,986762518570,100,660.7293083667755,17.75,0.9754762896825394,0.1775,13.833333333333334,1,952039434492,100,655.0476105213165,17.75,0.9623127314814812,0.1775,13.75,2,345664075654,100,756.3550281524658,17.916666666666668,0.984381944444444,0.17916666666666667,14.666666666666666,3,460462409076,100,483.49009561538696,17.5,0.9541184854497354,0.175,14.166666666666666,4,732505190116,100,896.1915321350098,17.666666666666668,0.9589425264550263,0.17666666666666667,13.916666666666666,5,980196645568,100,807.6276154518127,17.75,0.9656717592592592,0.1775,13.916666666666666,6,932077838486,100,723.4884157180786,17.666666666666668,0.9675677579365077,0.17666666666666667,13.083333333333334,7,495929458268,100,677.71692943573,17.5,0.9634677579365079,0.175,13.916666666666666,8,957079198240,100,789.4455046653748,17.666666666666668,0.9723485449735447,0.17666666666666667,14.0,9,569900414597,100,679.1059505939484,7129.197990655899,896.6308238506317
1,172,17.2,12,0,18,21,12,15,19,21,16,20,13,17,9,12,16,21,13,14,15,21,0,0,10.283333333333335,12.933333333333332,0.9678735082304524,0.12933333333333333,0.9084480049941095,0.06236095644623252,0.006713145727176383,0.0006236095644623216,10,12.916666666666666,0.9743852880658435,0.12916666666666668,11.166666666666666,10,986762518570,100,786.0491609573364,12.833333333333334,0.9697170781893002,0.12833333333333333,11.083333333333334,11,952039434492,100,916.3527364730835,12.916666666666666,0.9547088477366255,0.12916666666666668,9.0,12,345664075654,100,1052.0347757339478,12.916666666666666,0.9649861111111111,0.12916666666666668,11.5,13,460462409076,100,916.4259803295135,12.916666666666666,0.9777196502057612,0.12916666666666668,10.75,14,732505190116,100,757.9658508300781,12.916666666666666,0.9670596707818928,0.12916666666666668,10.5,15,980196645568,100,764.6771659851074,13.083333333333334,0.9641059670781892,0.13083333333333333,8.583333333333334,16,932077838486,100,886.843843460083,12.916666666666666,0.9692875514403292,0.12916666666666668,10.0,17,495929458268,100,831.6252083778381,13.0,0.9757613168724278,0.13,10.583333333333334,18,957079198240,100,817.9709906578064,12.916666666666666,0.961003600823045,0.12916666666666668,9.666666666666666,19,569900414597,100,1011.1908497810364,8741.13656258583,1052.2681488990784
2,73,7.3,12,0,19,20,15,21,18,21,12,17,17,20,18,21,16,21,10,11,12,20,9,13,10.708333333333332,13.675,0.964076597222222,0.13674999999999998,1.2948884550844957,0.16435902436096672,0.011265290216321226,0.001643590243609668,10,13.416666666666666,0.9547249999999998,0.13416666666666666,10.5,20,986762518570,100,1194.4116775989532,13.75,0.9738511574074075,0.1375,8.166666666666666,21,952039434492,100,1010.0648500919342,13.916666666666666,0.9553840277777776,0.13916666666666666,11.583333333333334,22,345664075654,100,1117.638277053833,13.666666666666666,0.9612733796296296,0.13666666666666666,11.666666666666666,23,460462409076,100,1018.762344121933,13.5,0.9834090277777776,0.135,12.583333333333334,24,732505190116,100,846.2537064552307,13.916666666666666,0.9634145833333333,0.13916666666666666,9.916666666666666,25,980196645568,100,1097.0238184928894,13.75,0.9488,0.1375,10.416666666666666,26,932077838486,100,1166.1972765922546,13.75,0.9811939814814812,0.1375,10.5,27,495929458268,100,937.8752226829529,13.5,0.9647217592592592,0.135,12.333333333333334,28,957079198240,100,1065.934112071991,13.583333333333334,0.9539930555555554,0.13583333333333333,9.416666666666666,29,569900414597,100,1113.7084007263184,10567.86968588829,1194.416990995407
3,143,14.3,12,0,15,21,16,21,13,19,17,21,11,19,12,21,13,17,14,21,18,21,0,0,16.675,21.225,0.9799138619439546,0.21225,1.1269735775271952,0.17499999999999985,0.0036264766596874583,0.0017500000000000016,10,21.0,0.9745254017244758,0.21,18.75,30,986762518570,100,754.8243298530579,21.083333333333332,0.9780199882422104,0.21083333333333334,15.0,31,952039434492,100,682.7328383922577,21.5,0.9802753894767784,0.215,15.333333333333334,32,345664075654,100,614.1223282814026,21.166666666666668,0.9811571869488537,0.21166666666666667,17.166666666666668,33,460462409076,100,676.8348693847656,20.916666666666668,0.9728403757593571,0.20916666666666667,16.75,34,732505190116,100,834.2427022457123,21.333333333333332,0.9827144571820499,0.21333333333333335,17.666666666666668,35,980196645568,100,604.8642566204071,21.416666666666668,0.9839785052910054,0.21416666666666667,16.166666666666668,36,932077838486,100,579.5521972179413,21.25,0.9842603982951206,0.2125,17.416666666666668,37,495929458268,100,577.0380082130432,21.333333333333332,0.9818536522633744,0.21333333333333335,17.083333333333332,38,957079198240,100,583.4395654201508,21.25,0.9795132642563199,0.2125,15.416666666666666,39,569900414597,100,675.9113624095917,6583.56245803833,834.4850404262543
4,26,2.6,12,0,9,15,16,18,10,16,19,20,15,19,9,10,9,17,19,21,9,19,13,21,8.516666666666666,11.358333333333334,0.95929375,0.11358333333333333,0.8817596044274197,0.2688710967483614,0.012812362939646302,0.0026887109674836123,10,11.166666666666666,0.926142824074074,0.11166666666666666,9.416666666666666,40,986762518570,100,1540.683636188507,11.25,0.9570407407407405,0.1125,7.833333333333333,41,952039434492,100,1167.1206169128418,11.5,0.9658456018518518,0.115,9.166666666666666,42,345664075654,100,1017.2571470737457,11.75,0.9701303240740738,0.1175,8.25,43,460462409076,100,1082.9503107070923,11.083333333333334,0.9560238425925925,0.11083333333333334,8.583333333333334,44,732505190116,100,1211.1125059127808,11.5,0.9606032407407407,0.115,6.75,45,980196645568,100,1162.4652166366577,11.75,0.9567578703703701,0.1175,9.916666666666666,46,932077838486,100,1195.919884443283,11.5,0.9776752314814814,0.115,7.75,47,495929458268,100,975.320876121521,10.916666666666666,0.9589194444444443,0.10916666666666666,9.083333333333334,48,957079198240,100,1086.5489172935486,11.166666666666666,0.9637983796296297,0.11166666666666666,8.416666666666666,49,569900414597,100,1122.0908093452454,11561.469920635223,1540.6892166137695
5,190,19.0,12,0,11,15,12,21,14,21,16,21,14,20,13,15,17,21,19,21,12,19,0,0,15.166666666666666,19.416666666666668,0.9692267979619832,0.19416666666666665,1.061968821471599,0.09128709291752769,0.00415137945965584,0.0009128709291752776,10,19.25,0.9623005829903977,0.1925,15.916666666666666,50,986762518570,100,925.8690965175629,19.416666666666668,0.9753677248677247,0.19416666666666665,14.75,51,952039434492,100,713.1471869945526,19.5,0.9695108024691357,0.195,14.5,52,345664075654,100,777.5903975963593,19.416666666666668,0.9667722173231432,0.19416666666666665,17.583333333333332,53,460462409076,100,769.5111839771271,19.333333333333332,0.9714770968058003,0.19333333333333333,15.166666666666666,54,732505190116,100,732.9449377059937,19.416666666666668,0.9650375514403291,0.19416666666666665,15.083333333333334,55,980196645568,100,845.2416825294495,19.583333333333332,0.9667601655888691,0.19583333333333333,15.083333333333334,56,932077838486,100,788.7696986198425,19.416666666666668,0.96936860670194,0.19416666666666665,13.583333333333334,57,495929458268,100,728.0824120044708,19.333333333333332,0.9692469870664314,0.19333333333333333,15.916666666666666,58,957079198240,100,807.5565588474274,19.5,0.9764262443660591,0.195,14.083333333333334,59,569900414597,100,644.5912480354309,7733.304402828217,925.88405418396
6,158,15.8,12,0,16,19,18,21,11,12,15,18,16,19,16,19,17,21,12,16,19,21,18,21,8.866666666666665,12.008333333333333,0.971748148148148,0.12008333333333335,0.7399324293474372,0.06922186552431778,0.005625309376494363,0.0006922186552431718,10,12.0,0.9776527777777776,0.12,9.166666666666666,60,986762518570,100,652.218878030777,11.916666666666666,0.9640694444444444,0.11916666666666667,8.333333333333334,61,952039434492,100,866.5478191375732,12.083333333333334,0.9722199074074073,0.12083333333333333,10.083333333333334,62,345664075654,100,771.6144733428955,11.916666666666666,0.9670810185185182,0.11916666666666667,9.833333333333334,63,460462409076,100,829.277569770813,11.916666666666666,0.965520833333333,0.11916666666666667,8.583333333333334,64,732505190116,100,840.3212285041809,12.083333333333334,0.9746527777777775,0.12083333333333333,8.583333333333334,65,980196645568,100,713.7668766975403,12.083333333333334,0.9665902777777777,0.12083333333333333,9.083333333333334,66,932077838486,100,768.9352288246155,12.0,0.9703958333333332,0.12,8.083333333333334,67,495929458268,100,753.9294517040253,12.0,0.9798773148148147,0.12,9.333333333333334,68,957079198240,100,639.0666933059692,12.083333333333334,0.979421296296296,0.12083333333333333,7.583333333333333,69,569900414597,100,659.2785153388977,7494.956734657288,866.7778959274292
7,122,12.2,12,0,19,21,17,21,17,19,11,12,10,16,18,21,17,20,17,21,0,0,0,0,7.7666666666666675,9.908333333333333,0.9682578124999999,0.09908333333333333,0.84803694888057,0.09464847243000452,0.008338321497102636,0.0009464847243000468,10,9.833333333333334,0.9592737268518516,0.09833333333333333,8.333333333333334,70,986762518570,100,715.0421843528748,9.916666666666666,0.9622829861111111,0.09916666666666667,8.25,71,952039434492,100,836.5169999599457,10.0,0.9749016203703702,0.1,6.916666666666667,72,345664075654,100,755.6947546005249,10.083333333333334,0.9835040509259259,0.10083333333333333,8.833333333333334,73,460462409076,100,597.8539445400238,9.916666666666666,0.9720630787037035,0.09916666666666667,7.416666666666667,74,732505190116,100,739.4066269397736,10.0,0.9698929398148146,0.1,6.916666666666667,75,980196645568,100,775.0480244159698,9.916666666666666,0.9556655092592592,0.09916666666666667,7.25,76,932077838486,100,928.3534865379333,9.833333333333334,0.9771672453703701,0.09833333333333333,9.416666666666666,77,495929458268,100,715.1103384494781,9.75,0.961741898148148,0.0975,7.5,78,957079198240,100,889.7593593597412,9.833333333333334,0.9660850694444444,0.09833333333333333,6.833333333333333,79,569900414597,100,811.5441048145294,7764.329823970795,928.5813534259796
8,94,9.4,12,0,19,21,17,21,18,21,11,18,13,21,19,21,15,21,19,21,11,13,0,0,10.316666666666666,13.466666666666669,0.9714967298647853,0.13466666666666668,0.5461989869391315,0.14529663145135563,0.004905761216282098,0.0014529663145135595,10,13.25,0.9686021090534978,0.1325,10.25,80,986762518570,100,892.7840225696564,13.416666666666666,0.9776368680188123,0.13416666666666666,9.666666666666666,81,952039434492,100,751.1315867900848,13.75,0.9689662330981774,0.1375,9.583333333333334,82,345664075654,100,810.3385574817657,13.5,0.9643388080540858,0.135,9.833333333333334,83,460462409076,100,943.9358532428741,13.333333333333334,0.9741593180482069,0.13333333333333333,11.083333333333334,84,732505190116,100,811.8082599639893,13.5,0.9696704144620809,0.135,10.833333333333334,85,980196645568,100,796.2546467781067,13.666666666666666,0.9686256246325688,0.13666666666666666,9.75,86,932077838486,100,837.3484213352203,13.333333333333334,0.9664454732510287,0.13333333333333333,10.583333333333334,87,495929458268,100,914.3158977031708,13.416666666666666,0.9774720752498529,0.13416666666666666,11.0,88,957079198240,100,764.91477394104,13.5,0.9790503747795412,0.135,10.583333333333334,89,569900414597,100,757.2390158176422,8280.07103562355,944.1784491539001
9,172,17.2,12,0,19,21,11,12,11,16,18,21,12,19,17,21,9,20,19,21,15,20,0,0,12.908333333333335,16.708333333333336,0.965562405136016,0.1670833333333333,0.847750290802401,0.10704360482220927,0.004689629666081369,0.001070436048222094,10,16.666666666666668,0.9683224774196996,0.16666666666666666,13.75,90,986762518570,100,815.6500942707062,16.666666666666668,0.9726854056437387,0.16666666666666666,12.25,91,952039434492,100,764.0461075305939,16.916666666666668,0.965894386991609,0.16916666666666666,12.583333333333334,92,345664075654,100,815.9914298057556,16.75,0.9691946849446847,0.1675,12.833333333333334,93,460462409076,100,798.3346543312073,16.5,0.9647679573512905,0.165,14.916666666666666,94,732505190116,100,919.953845500946,16.666666666666668,0.9562065629843407,0.16666666666666666,13.416666666666666,95,980196645568,100,906.2838480472565,16.833333333333332,0.9655606528245415,0.16833333333333333,12.75,96,932077838486,100,892.201461315155,16.666666666666668,0.964126389556945,0.16666666666666666,12.166666666666666,97,495929458268,100,877.8290498256683,16.75,0.9697001296029073,0.1675,12.416666666666666,98,957079198240,100,866.4955956935883,16.666666666666668,0.959165404040404,0.16666666666666666,12.0,99,569900414597,100,970.7149381637573,8627.501024484634,970.9717175960541
