,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
10,194,19.4,5,0,12,14,9,12,12,14,10,12,10,11,0.3,0.9284886615202991,13.131666015115876,12,14,12,14,10,11,0,0,0,0,11.0,15.0,0.9403182870370369,0.3,1.0658330075579383,0.0,0.005914812758368933,0.0,5,15.0,0.9417824074074073,0.3,10.6,50,119586514258,50,176.55490612983704,15.0,0.9295196759259258,0.3,9.6,51,922485741825,50,201.01605033874512,15.0,0.9424421296296295,0.3,11.8,52,886535215268,50,167.56227731704712,15.0,0.9475057870370369,0.3,12.6,53,312248258909,50,168.3641767501831,15.0,0.9403414351851851,0.3,10.4,54,897057706678,50,179.99914383888245,893.4965543746948,201.29961013793945
11,142,14.2,5,0,11,14,12,14,10,11,10,14,10,11,0.38799999999999996,0.9517672522065435,16.80447387769,11,13,12,14,10,11,10,14,0,0,14.12,19.72,0.966170781893004,0.3944,1.3422369388450015,0.16000000000000084,0.007201764843230238,0.0032000000000000028,5,19.8,0.9622813786008229,0.396,12.6,55,119586514258,50,151.75340795516968,19.8,0.9744393004115225,0.396,12.6,56,922485741825,50,131.45701694488525,19.4,0.9541177983539093,0.388,15.0,57,886535215268,50,164.92897987365723,19.8,0.9707536008230453,0.396,14.4,58,312248258909,50,136.64514923095703,19.8,0.9692618312757202,0.396,16.0,59,897057706678,50,138.16521072387695,722.9497647285461,164.94474983215332
12,48,4.8,5,1,12,14,12,13,9,12,11,14,12,14,0.21258680067086272,0.9476552707823432,10.314419848752472,9,13,0,0,0,0,0,0,0,0,7.880000000000001,11.16,0.9663410493827159,0.2232,1.2172099243762355,0.26532998322843165,0.009342889300186367,0.005306599664568644,5,11.6,0.9755401234567901,0.232,6.6,60,119586514258,50,136.92079901695251,11.2,0.9645177469135803,0.224,7.0,61,922485741825,50,151.808420419693,11.0,0.9787229938271604,0.22,7.2,62,886535215268,50,136.1537687778473,10.8,0.956508487654321,0.216,9.8,63,312248258909,50,171.1694529056549,11.2,0.9564158950617284,0.224,8.8,64,897057706678,50,168.34514904022217,764.3975901603699,171.46675157546997
13,14,1.4,5,1,12,14,9,10,12,13,11,14,12,14,0.13476221040720687,0.9070323480459187,6.409496966555431,9,12,11,14,12,14,0,0,0,0,4.720000000000001,7.4799999999999995,0.9375312499999999,0.1496,0.8447484832777151,0.37094473981982806,0.015249450977040613,0.007418894796396563,5,8.0,0.9431944444444443,0.16,4.4,65,119586514258,50,237.83425760269165,7.8,0.9448321759259257,0.156,4.0,66,922485741825,50,235.36107802391052,7.2,0.9591435185185184,0.144,3.8,67,886535215268,50,217.98191094398499,7.0,0.9227430555555556,0.14,6.0,68,312248258909,50,305.8936951160431,7.4,0.9177430555555555,0.148,5.4,69,897057706678,50,298.52334451675415,1295.5942862033844,305.9135363101959
14,143,14.3,5,1,11,13,10,11,11,14,10,13,12,14,0.228,0.9530162509273935,11.936717845492357,11,12,0,0,0,0,0,0,0,0,9.44,11.720000000000002,0.9672438271604937,0.2344,1.2483589227461789,0.16000000000000023,0.007113788116550122,0.0031999999999999906,5,12.0,0.9756944444444443,0.24,8.0,25,119586514258,50,102.90544009208679,11.6,0.9597299382716048,0.232,10.0,26,922485741825,50,128.08943796157837,11.8,0.9760030864197531,0.236,8.2,27,886535215268,50,107.09246850013733,11.6,0.961550925925926,0.232,9.6,28,312248258909,50,129.4128062725067,11.6,0.9632407407407406,0.232,11.4,29,897057706678,50,127.5690438747406,595.0691967010498,0.0018303394317626953
15,143,14.3,5,1,11,13,11,12,10,11,11,14,10,13,0.24624156877825154,0.9547760144263259,11.91274408545364,12,14,11,12,0,0,0,0,0,0,9.16,12.72,0.970722222222222,0.2544,1.3763720427268202,0.20396078054371145,0.007973103897948097,0.004079215610874232,5,12.8,0.9638161375661375,0.256,8.0,70,119586514258,50,136.98488974571228,13.0,0.9742923280423279,0.26,11.6,71,922485741825,50,110.60843133926392,12.8,0.974914021164021,0.256,9.6,72,886535215268,50,111.50301218032837,12.6,0.9812367724867723,0.252,7.8,73,312248258909,50,115.37195777893066,12.4,0.9593518518518518,0.248,8.8,74,897057706678,50,155.34100723266602,629.8092982769012,155.67169713974
16,162,16.2,5,1,12,14,12,13,9,13,10,12,11,14,0.23448081641154692,0.9589637321028203,12.914541221838208,0,0,0,0,0,0,0,0,0,0,9.4,11.919999999999998,0.9710157407407406,0.2384,1.7572706109191036,0.09797958971132678,0.006026004318960158,0.001959591794226544,5,12.0,0.9728333333333332,0.24,7.8,75,119586514258,50,87.8039619922638,11.8,0.9673009259259258,0.236,11.0,76,922485741825,50,105.22081017494202,12.0,0.9743888888888887,0.24,8.4,77,886535215268,50,80.90180516242981,12.0,0.9789953703703704,0.24,7.8,78,312248258909,50,81.25039720535278,11.8,0.9615601851851852,0.236,12.0,79,897057706678,50,104.47606992721558,459.653044462204,105.39452576637268
17,107,10.7,5,1,12,14,9,12,9,10,12,13,9,13,0.29728742445626777,0.9336108834191361,14.592296279363143,11,14,10,13,0,0,0,0,0,0,12.0,15.64,0.9620191798941798,0.3128,1.2961481396815717,0.38781438859330625,0.014204148237521856,0.007756287771866133,5,16.2,0.9892030423280422,0.324,10.0,80,119586514258,50,125.27695631980896,15.8,0.9537929894179893,0.316,11.8,81,922485741825,50,172.90041065216064,15.6,0.9556547619047617,0.312,11.4,82,886535215268,50,176.54295659065247,15.0,0.9493055555555555,0.3,13.6,83,312248258909,50,189.8768846988678,15.6,0.9621395502645501,0.312,13.2,84,897057706678,50,168.06402325630188,832.6612315177917,190.05082321166992
18,43,4.3,5,1,9,11,12,14,9,11,9,10,10,13,0.21660153855258243,0.9299071314120644,8.028216007552587,12,14,12,14,12,14,0,0,0,0,6.88,11.48,0.9509722222222221,0.22959999999999997,0.574108003776293,0.3249615361854383,0.010532545405078872,0.006499230723708766,5,11.4,0.9570023148148148,0.228,6.8,85,119586514258,50,193.28285336494446,12.0,0.9514525462962962,0.24,6.0,86,922485741825,50,198.09542846679688,11.4,0.9477546296296295,0.228,7.6,87,886535215268,50,210.15183186531067,11.0,0.9334780092592592,0.22,6.6,88,312248258909,50,237.21311807632446,11.6,0.965173611111111,0.232,7.4,89,897057706678,50,196.13635802268982,1034.8795897960663,237.5104055404663
19,196,19.6,5,1,12,13,9,12,12,14,10,12,10,11,0.33520000000000005,0.9358384653715175,16.186018096858216,12,14,12,14,10,11,11,14,0,0,12.76,17.080000000000002,0.943559670781893,0.3416,1.7130090484291087,0.15999999999999942,0.0038606027051877544,0.0031999999999999806,5,17.4,0.9495679012345677,0.348,12.8,90,119586514258,50,168.59180092811584,17.0,0.9443878600823044,0.34,10.0,91,922485741825,50,194.27206301689148,17.0,0.9426594650205762,0.34,13.0,92,886535215268,50,176.51663446426392,17.0,0.9436985596707816,0.34,15.4,93,312248258909,50,178.9726631641388,17.0,0.9374845679012344,0.34,12.6,94,897057706678,50,190.1431691646576,908.4963307380676,194.28942847251892
