,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
10,157,15.7,12,0,19,21,14,21,15,21,11,21,9,10,15,21,15,20,16,21,19,21,19,21,0.37978891680642973,0.9699990398028359,16.360081297790448,15.266666666666666,19.1,0.9741113756613755,0.382,1.0934146311237818,0.11055415967851315,0.0041123358585397,0.0022110831935702657,5,19.166666666666668,0.9719562169312168,0.38333333333333336,14.75,50,986762518570,50,545.0368158817291,18.916666666666668,0.9687994708994708,0.37833333333333335,13.416666666666666,51,952039434492,50,593.7513010501862,19.25,0.9776140211640211,0.385,15.583333333333334,52,345664075654,50,519.3859796524048,19.083333333333332,0.9800665343915341,0.38166666666666665,16.083333333333332,53,460462409076,50,514.4092500209808,19.083333333333332,0.9721206349206348,0.38166666666666665,16.5,54,732505190116,50,564.5853977203369,2737.168744325638,593.9639804363251
11,24,2.4,12,0,18,21,10,19,14,21,13,18,16,21,17,19,15,21,13,21,0,0,0,0,0.20389683118989996,0.9696394290633062,8.954617783007462,8.05,10.466666666666667,0.9756140046296295,0.20933333333333332,0.904617783007461,0.2718251071716681,0.005974575566323274,0.005436502143433361,5,10.75,0.9759846781305113,0.215,6.75,55,986762518570,50,557.0684299468994,10.0,0.9643492201278658,0.2,8.0,56,952039434492,50,548.2611126899719,10.583333333333334,0.9782060185185185,0.21166666666666667,8.083333333333334,57,345664075654,50,497.80886363983154,10.333333333333334,0.9774996555335097,0.20666666666666667,9.583333333333334,58,460462409076,50,480.3064715862274,10.666666666666666,0.9820304508377424,0.21333333333333335,7.833333333333333,59,732505190116,50,417.7883315086365,2501.2332093715668,557.0721471309662
12,150,15.0,12,1,18,21,19,21,16,21,10,17,11,21,12,18,16,21,18,21,19,21,0,0,0.351625320531788,0.9714368460358815,15.15593352024036,14.216666666666669,17.71666666666667,0.9766015285126395,0.35433333333333333,0.9392668535736913,0.13540064007726627,0.005164682476757992,0.0027080128015453267,5,17.666666666666668,0.969967666078777,0.35333333333333333,13.333333333333334,60,986762518570,50,445.87124276161194,17.5,0.9776434450323338,0.35,15.333333333333334,61,952039434492,50,417.4400107860565,17.916666666666668,0.9824442974720752,0.35833333333333334,14.25,62,345664075654,50,344.48623061180115,17.75,0.9816773956496176,0.355,13.0,63,460462409076,50,349.2796628475189,17.75,0.9712748383303939,0.355,15.166666666666666,64,732505190116,50,440.0796205997467,1997.1567676067352,445.8757486343384
13,122,12.2,12,1,11,15,16,21,19,20,10,18,17,20,17,21,0,0,0,0,0,0,0,0,0.19841944753774204,0.9641310652576169,7.527991389811313,7.166666666666666,9.983333333333333,0.9726149691358023,0.1996666666666667,0.3613247231446468,0.0623609564462328,0.00848390387818536,0.0012472191289246463,5,10.0,0.9812492283950615,0.2,6.833333333333333,65,986762518570,50,336.5595152378082,9.916666666666666,0.9632974537037035,0.19833333333333333,6.75,66,952039434492,50,355.06181740760803,10.083333333333334,0.9831886574074072,0.20166666666666666,7.5,67,345664075654,50,302.59432005882263,10.0,0.972017361111111,0.2,7.083333333333333,68,460462409076,50,366.23582434654236,9.916666666666666,0.9633221450617283,0.19833333333333333,7.666666666666667,69,732505190116,50,327.10453391075134,1687.5560109615326,366.4228811264038
14,150,15.0,12,1,11,16,19,21,17,21,13,21,10,14,15,21,16,17,17,21,19,21,0,0,0.29566666666666663,0.9652049255199052,12.462618549974323,11.95,14.883333333333335,0.9724567901234566,0.29766666666666663,0.5126185499743232,0.09999999999999988,0.007251864603551446,0.0019999999999999944,5,15.0,0.9822371399176953,0.3,12.666666666666666,70,986762518570,50,337.29129552841187,14.75,0.96079012345679,0.295,11.833333333333334,71,952039434492,50,458.75468349456787,15.0,0.9724135802469134,0.3,12.416666666666666,72,345664075654,50,383.38847303390503,14.833333333333334,0.9772502572016459,0.2966666666666667,11.416666666666666,73,460462409076,50,339.56603026390076,14.833333333333334,0.9695928497942385,0.2966666666666667,11.416666666666666,74,732505190116,50,473.0186643600464,1992.019146680832,473.17194724082947
15,24,2.4,12,1,18,21,10,18,10,17,13,21,13,20,17,19,15,21,12,21,0,0,0,0,0.2207321638326724,0.9635582977000875,9.786202638149932,8.816666666666666,11.416666666666668,0.9741765046296296,0.22833333333333333,0.9695359714832659,0.380058475033046,0.010618206929542065,0.007601169500660917,5,12.0,0.9754626184964726,0.24,7.166666666666667,75,986762518570,50,569.4727559089661,11.0,0.9555449459876544,0.22,9.833333333333334,76,952039434492,50,741.8241140842438,11.583333333333334,0.9858934082892417,0.23166666666666666,9.166666666666666,77,345664075654,50,499.5312476158142,11.0,0.9714312582671957,0.22,9.583333333333334,78,460462409076,50,635.4899787902832,11.5,0.9825502921075837,0.23,8.333333333333334,79,732505190116,50,519.667457818985,2965.9855542182922,742.0113968849182
16,121,12.1,12,1,18,21,16,21,12,17,11,21,19,21,14,19,19,21,11,21,0,0,0,0,0.3337392233389582,0.9750037868668067,14.103990445805364,13.266666666666666,16.799999999999997,0.9784395833333333,0.33599999999999997,0.837323779138698,0.11303883305208828,0.003435796466526576,0.0022607766610417543,5,16.833333333333332,0.9810231481481481,0.33666666666666667,13.25,80,986762518570,50,369.34444880485535,16.583333333333332,0.975909722222222,0.33166666666666667,12.75,81,952039434492,50,364.29387497901917,16.916666666666668,0.9813101851851851,0.3383333333333333,12.25,82,345664075654,50,365.258216381073,16.833333333333332,0.9810659722222221,0.33666666666666667,14.75,83,460462409076,50,322.0899739265442,16.833333333333332,0.9728888888888888,0.33666666666666667,13.333333333333334,84,732505190116,50,379.3070065975189,1800.2935206890106,379.48363518714905
17,141,14.1,12,1,15,21,16,21,18,21,19,21,13,21,11,19,12,21,13,17,14,16,18,19,0.3915168367524056,0.9761476134330436,16.43314812528013,15.683333333333332,19.616666666666667,0.9791575771604937,0.3923333333333333,0.7498147919467995,0.04082482904638746,0.0030099637274501583,0.0008164965809277177,5,19.666666666666668,0.977637885802469,0.3933333333333333,14.666666666666666,85,986762518570,50,478.4350469112396,19.666666666666668,0.9774283950617282,0.3933333333333333,15.5,86,952039434492,50,412.75787901878357,19.583333333333332,0.9754341049382715,0.39166666666666666,15.25,87,345664075654,50,500.5499176979065,19.583333333333332,0.9836,0.39166666666666666,16.166666666666668,88,460462409076,50,412.79137325286865,19.583333333333332,0.9816874999999998,0.39166666666666666,16.833333333333332,89,732505190116,50,438.81965136528015,2243.3538682460785,500.81254053115845
18,143,14.3,12,1,15,21,12,14,13,19,17,21,11,19,9,19,13,20,14,21,18,21,0,0,0.4307992249109858,0.9756190145537718,17.386018017861335,16.349999999999998,21.683333333333334,0.9790699147560258,0.4336666666666667,1.0360180178613363,0.1433720877840443,0.003450900202253984,0.0028674417556808864,5,21.666666666666668,0.9764887566137566,0.43333333333333335,15.25,90,986762518570,50,479.9727249145508,21.583333333333332,0.9794143885949441,0.43166666666666664,17.333333333333332,91,952039434492,50,420.4231524467468,21.75,0.9813873456790121,0.435,17.833333333333332,92,345664075654,50,438.09074234962463,21.5,0.9741618533215757,0.43,15.5,93,460462409076,50,478.64618849754333,21.916666666666668,0.9838972295708407,0.43833333333333335,15.833333333333334,94,732505190116,50,408.2901599407196,2225.422968149185,479.97699332237244
19,171,17.1,12,1,17,21,15,21,19,21,16,19,13,17,11,13,15,18,13,14,15,21,0,0,0.25800000000000006,0.9573532224602711,10.96361105439862,10.283333333333335,12.933333333333332,0.966170781893004,0.2586666666666667,0.6802777210652846,0.03333333333333357,0.008817559432732928,0.0006666666666666598,5,12.916666666666666,0.9618029835390947,0.25833333333333336,9.583333333333334,95,986762518570,50,579.3646149635315,12.916666666666666,0.9827932098765432,0.25833333333333336,11.166666666666666,96,952039434492,50,437.9846076965332,12.916666666666666,0.9583307613168723,0.25833333333333336,9.583333333333334,97,345664075654,50,594.2483360767365,12.916666666666666,0.9672916666666664,0.25833333333333336,11.0,98,460462409076,50,534.8731997013092,13.0,0.9606352880658435,0.26,10.083333333333334,99,732505190116,50,586.5879909992218,2733.058749437332,594.5086455345154
