9 0 9 0 9 1 10 0 9 1 9 0 10 0 9 0 9 1 9 0 189 
9 0 9 0 9 1 10 0 9 2 9 0 10 0 9 0 10 1 9 0 189 
11 0 10 0 9 0 10 0 10 2 10 0 10 0 9 0 9 0 9 0 190 
11 0 10 0 9 0 11 1 10 2 10 0 10 0 9 0 10 0 9 0 191 
9 0 9 0 9 0 10 0 10 1 9 0 10 0 9 0 9 0 9 0 188 
11 1 10 0 11 1 10 0 10 1 9 0 10 0 10 0 9 0 9 0 190 
11 0 9 1 9 0 11 0 9 2 9 0 10 0 10 0 9 0 9 3 189 
10 1 10 1 9 1 10 0 10 0 11 0 10 0 9 0 9 1 9 0 191 
11 0 9 0 9 2 10 0 9 1 9 0 10 1 9 0 9 0 9 1 191 
11 0 10 0 10 0 10 0 11 2 9 0 10 0 10 0 9 1 9 0 191 
11 0 10 0 9 1 11 0 11 2 9 0 10 0 9 0 9 0 9 0 54 
11 3 10 1 9 2 12 0 11 2 10 0 10 1 9 0 10 1 9 0 191 
