,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
10,48,4.8,5,0,11,14,10,11,12,14,11,14,12,13,10,11,9,12,10,11,0.11660181833210596,0.9177036432365471,11.529983606513321,12,14,0,0,8.48,12.76,0.9526162551440327,0.1276,1.0166612021711068,0.36660605559646725,0.011637537302495199,0.0036660605559646754,5,13.4,0.9674588477366254,0.134,8.0,50,212399885001,100,231.06456446647644,12.8,0.9565689300411522,0.128,8.6,51,374988376638,100,261.7530426979065,12.8,0.9363477366255144,0.128,6.8,52,431053971709,100,311.5507221221924,12.4,0.9606635802469135,0.124,9.6,53,208572859484,100,266.75226974487305,12.4,0.9420421810699587,0.124,9.4,54,847390121387,100,326.8127393722534,1397.9333384037018,327.11257338523865
11,156,15.6,5,0,11,13,10,13,12,14,11,14,10,12,11,14,11,13,12,14,0.1858606123086602,0.9594682432900243,21.147927781391346,0,0,0,0,15.719999999999999,18.880000000000003,0.9697974537037037,0.1888,1.8093092604637824,0.09797958971132678,0.0034430701378931256,0.000979795897113272,5,18.8,0.9657002314814814,0.188,14.4,55,212399885001,100,187.56690621376038,18.8,0.9672569444444443,0.188,16.0,56,374988376638,100,187.16535234451294,19.0,0.9695081018518519,0.19,13.0,57,431053971709,100,173.40978264808655,18.8,0.9757060185185185,0.188,17.4,58,208572859484,100,160.09463214874268,19.0,0.9708159722222223,0.19,17.8,59,847390121387,100,170.81292176246643,879.049595117569,187.57469868659973
12,171,17.1,5,1,9,12,9,12,9,10,11,14,12,14,11,13,11,14,0,0,0.17,0.9465949355589375,14.52996551683135,0,0,0,0,13.080000000000002,17.0,0.9653822751322751,0.17,0.48332183894378283,0.0,0.006262446524445886,0.0,5,17.0,0.970244708994709,0.17,13.6,60,212399885001,100,188.45368480682373,17.0,0.97494708994709,0.17,12.4,61,374988376638,100,179.30817341804504,17.0,0.9597023809523808,0.17,13.4,62,431053971709,100,229.6788625717163,17.0,0.9587235449735448,0.17,12.6,63,208572859484,100,222.1459150314331,17.0,0.9632936507936508,0.17,13.4,64,847390121387,100,215.9813404083252,1035.5679762363434,229.84779453277588
13,194,19.4,5,1,10,12,9,11,11,14,9,12,10,11,9,10,11,14,11,14,0.2,0.9284385795577618,18.835812254145804,10,12,0,0,13.680000000000001,20.0,0.9449567901234568,0.2,1.718604084715267,0.0,0.005506070188565023,0.0,5,20.0,0.949593621399177,0.2,11.0,65,212399885001,100,313.0854184627533,20.0,0.9454166666666666,0.2,14.4,66,374988376638,100,320.79804515838623,20.0,0.9350102880658435,0.2,16.0,67,431053971709,100,338.19048857688904,20.0,0.9504783950617283,0.2,12.6,68,208572859484,100,302.8142213821411,20.0,0.9442849794238684,0.2,14.4,69,847390121387,100,312.34193873405457,1587.2301123142242,338.3184196949005
14,194,19.4,5,1,12,14,10,11,9,10,9,11,9,10,11,14,10,13,0,0,0.13,0.93267764384058,13.965196624386872,0,0,0,0,9.959999999999999,13.0,0.9456838624338625,0.13,1.3350655414622907,0.0,0.004335406197760816,0.0,5,13.0,0.9450198412698413,0.13,9.0,70,212399885001,100,241.51756191253662,13.0,0.9522420634920635,0.13,12.2,71,374988376638,100,244.32046580314636,13.0,0.9388888888888889,0.13,8.8,72,431053971709,100,263.5066933631897,13.0,0.9475396825396823,0.13,10.8,73,208572859484,100,242.9833161830902,13.0,0.9447288359788358,0.13,9.0,74,847390121387,100,246.3078625202179,1238.6358997821808,263.6705324649811
15,49,4.9,5,1,9,13,11,14,11,13,10,14,10,12,12,14,11,14,10,12,0.18751471862576144,0.9424894128754305,18.090981158462316,9,13,0,0,14.88,19.6,0.961378086419753,0.196,1.070327052820772,0.2828427124746195,0.006296224514774143,0.0028284271247461927,5,19.2,0.9547402263374486,0.192,16.2,75,212399885001,100,349.9262375831604,19.8,0.9619521604938269,0.198,14.6,76,374988376638,100,290.04565715789795,19.6,0.9592206790123456,0.196,15.2,77,431053971709,100,325.6455979347229,20.0,0.9730838477366256,0.2,13.0,78,208572859484,100,246.71606969833374,19.4,0.9578935185185186,0.194,15.4,79,847390121387,100,347.0339081287384,1559.3674705028534,350.0965325832367
16,156,15.6,5,1,9,11,9,13,11,12,11,14,11,12,11,12,10,11,0,0,0.12511001113587125,0.9471522190229263,12.979454500368204,0,0,0,0,9.679999999999998,12.959999999999999,0.9650502645502644,0.1296,1.099818166789402,0.14966629547095714,0.0059660151757793475,0.0014966629547095778,5,13.0,0.9725264550264549,0.13,9.2,80,212399885001,100,145.13787269592285,12.8,0.9560218253968251,0.128,8.6,81,374988376638,100,187.09870529174805,13.2,0.9701521164021162,0.132,9.4,82,431053971709,100,149.2546103000641,13.0,0.9653042328042327,0.13,9.4,83,208572859484,100,158.1797206401825,12.8,0.9612466931216931,0.128,11.8,84,847390121387,100,182.51729011535645,822.1881990432739,187.24081087112427
17,83,8.3,5,1,11,13,12,14,12,14,11,13,10,12,9,12,11,13,12,14,0.14308117658368866,0.9408423685367181,16.551470352730156,0,0,0,0,11.959999999999999,14.919999999999998,0.9600046296296295,0.1492,1.5304901175767194,0.20396078054371122,0.006387420364303788,0.002039607805437116,5,15.0,0.9649652777777776,0.15,10.4,85,212399885001,100,220.86135506629944,14.8,0.9568344907407407,0.148,12.2,86,374988376638,100,256.6371946334839,15.2,0.9491608796296295,0.152,11.2,87,431053971709,100,269.9360432624817,14.6,0.962210648148148,0.146,11.2,88,208572859484,100,232.73222136497498,15.0,0.9668518518518519,0.15,14.8,89,847390121387,100,208.02344584465027,1188.1902601718903,270.0956656932831
18,44,4.4,5,1,9,10,9,11,11,13,10,12,11,14,12,13,10,12,12,14,0.09982002227174254,0.9242045118394377,13.422875768259921,0,0,0,0,9.040000000000001,10.88,0.9500590277777776,0.10880000000000001,1.4609585894199737,0.2993325909419155,0.008618171979446622,0.0029933259094191557,5,10.8,0.9463483796296295,0.108,9.2,90,212399885001,100,320.51670813560486,11.0,0.9588773148148146,0.11,11.0,91,374988376638,100,288.5289115905762,11.4,0.9532581018518518,0.114,7.6,92,431053971709,100,273.21110916137695,10.6,0.956747685185185,0.106,10.2,93,208572859484,100,295.4376564025879,10.6,0.9350636574074072,0.106,7.2,94,847390121387,100,340.63582277297974,1518.3302080631256,340.76763820648193
19,174,17.4,5,1,11,14,9,10,12,14,11,12,9,10,10,11,11,14,10,11,0.14,0.9225708669263867,13.858321675037804,13,14,0,0,10.879999999999999,14.0,0.953812757201646,0.14,0.9927738916792685,0.0,0.010413963425086464,0.0,5,14.0,0.9563580246913579,0.14,11.6,95,212399885001,100,222.31027269363403,14.0,0.9548508230452674,0.14,11.2,96,374988376638,100,239.66334795951843,14.0,0.9403549382716049,0.14,9.2,97,431053971709,100,260.6924514770508,14.0,0.9710956790123456,0.14,10.4,98,208572859484,100,203.26137590408325,14.0,0.9464043209876541,0.14,12.0,99,847390121387,100,243.8696255683899,1169.7970736026764,260.8380103111267
