,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
10,199,19.9,5,0,9,11,10,12,10,14,12,13,11,12,9,11,0.1979100111358713,0.9324553778558445,19.62717945420067,12,13,9,13,11,14,0,0,15.639999999999997,20.24,0.9462181069958847,0.2024,1.3290598180668918,0.14966629547095714,0.004587576380013382,0.001496662954709566,5,20.4,0.9411599794238682,0.204,15.4,50,351760113850,100,280.7800328731537,20.2,0.9408307613168722,0.202,18.0,51,800139113292,100,284.00934505462646,20.4,0.9510802469135802,0.204,14.4,52,174096585781,100,265.17345905303955,20.2,0.9466229423868311,0.202,14.4,53,865262255400,100,259.2816495895386,20.0,0.9513966049382715,0.2,16.0,54,512313529334,100,254.356201171875,1343.6006877422333,284.2117352485657
11,17,1.7,5,0,10,12,10,11,11,13,11,13,0,0,0,0,0.029860612308660186,0.897803584852791,3.119428454762873,0,0,0,0,0,0,0,0,1.7200000000000002,3.28,0.9333611111111111,0.0328,0.4664761515876241,0.09797958971132699,0.011852508752773352,0.000979795897113272,5,3.4,0.9373263888888888,0.034,2.2,55,351760113850,100,221.08033323287964,3.4,0.9284722222222221,0.034,1.4,56,800139113292,100,244.04612493515015,3.2,0.9129513888888887,0.032,1.8,57,174096585781,100,249.16404104232788,3.2,0.9470833333333333,0.032,2.2,58,865262255400,100,207.66405725479126,3.2,0.9409722222222222,0.032,1.0,59,512313529334,100,212.609694480896,1134.564250946045,249.18164253234863
12,85,8.5,5,1,9,11,10,13,10,13,12,14,9,11,10,12,0.15420526680779795,0.9387390810446624,14.50916937458668,9,11,11,13,0,0,0,0,11.559999999999999,15.8,0.9589363425925924,0.158,0.9830564581955605,0.12649110640673528,0.0067324205159766705,0.0012649110640673528,5,16.0,0.9600173611111109,0.16,13.0,60,351760113850,100,279.57868337631226,15.8,0.9600636574074073,0.158,10.4,61,800139113292,100,264.89935874938965,15.8,0.9676157407407406,0.158,12.4,62,174096585781,100,247.8588593006134,15.8,0.960185185185185,0.158,10.8,63,865262255400,100,271.9481875896454,15.6,0.9467997685185184,0.156,11.2,64,512313529334,100,310.2018392086029,1374.4869282245636,310.3643388748169
13,85,8.5,5,1,11,13,10,13,11,12,9,11,11,13,9,12,0.115427329309938,0.9010669114343547,13.94851106602419,9,10,0,0,0,0,0,0,9.08,12.2,0.9450701058201056,0.122,1.6228370220080635,0.2190890230020663,0.014667731461916973,0.0021908902300206666,5,12.0,0.9329629629629628,0.12,11.6,65,351760113850,100,294.89905047416687,12.0,0.9386243386243386,0.12,8.4,66,800139113292,100,301.74663829803467,12.6,0.9695568783068783,0.126,10.2,67,174096585781,100,224.86580300331116,12.2,0.9537301587301588,0.122,8.2,68,865262255400,100,271.9424030780792,12.2,0.9304761904761903,0.122,7.0,69,512313529334,100,302.42039704322815,1395.87429189682,302.6691880226135
14,81,8.1,5,1,9,10,9,12,9,10,11,13,11,14,11,14,0.17396007968159108,0.9434293908429898,16.929864862122784,9,12,10,13,11,13,0,0,13.6,18.4,0.9607335390946503,0.184,1.1099549540409284,0.3346640106136303,0.005768049417220159,0.003346640106136305,5,19.0,0.9699022633744856,0.19,13.0,70,351760113850,100,277.9868769645691,18.4,0.9518467078189299,0.184,15.2,71,800139113292,100,314.8741354942322,18.4,0.9606841563786007,0.184,13.4,72,174096585781,100,305.0513062477112,18.0,0.9618981481481481,0.18,14.4,73,865262255400,100,326.5736634731293,18.2,0.9593364197530865,0.182,12.0,74,512313529334,100,294.4622597694397,1518.9482419490814,326.7349202632904
15,195,19.5,5,1,11,14,11,14,10,13,9,13,9,11,12,14,0.20711001113587127,0.9421891933948988,18.80798406368178,9,10,11,14,0,0,0,0,16.8,21.16,0.9535925925925925,0.2116,0.6693280212272598,0.14966629547095714,0.003801133065897901,0.0014966629547095778,5,21.4,0.9567274305555555,0.214,16.2,75,351760113850,100,261.35187911987305,21.2,0.9586284722222221,0.212,17.4,76,800139113292,100,274.5508859157562,21.0,0.9477806712962962,0.21,17.2,77,174096585781,100,328.45255613327026,21.2,0.9529108796296296,0.212,15.8,78,865262255400,100,288.2576746940613,21.0,0.9519155092592592,0.21,17.4,79,512313529334,100,296.9975743293762,1449.610570192337,328.7618215084076
16,193,19.3,5,1,9,10,11,14,9,10,9,12,11,13,11,14,0.18826061230866017,0.9226051462973338,20.06978108161775,10,12,12,14,12,14,0,0,14.36,19.12,0.9485565843621397,0.19119999999999998,1.9032603605392504,0.09797958971132678,0.008650479354935313,0.000979795897113272,5,19.2,0.9330092592592591,0.192,14.2,80,351760113850,100,345.43592858314514,19.0,0.9456121399176953,0.19,14.2,81,800139113292,100,324.21789741516113,19.2,0.9522788065843621,0.192,14.6,82,174096585781,100,274.5687494277954,19.2,0.9565895061728393,0.192,11.4,83,865262255400,100,268.6139304637909,19.0,0.9552932098765431,0.19,17.4,84,512313529334,100,266.7785224914551,1479.6150283813477,345.443856716156
17,81,8.1,5,1,9,12,9,12,12,14,12,14,11,14,11,12,0.17020526680779793,0.9576488933834985,17.839780213144742,9,13,12,14,0,0,0,0,14.2,17.4,0.9660387731481481,0.174,1.2132600710482477,0.12649110640673586,0.002796626588216558,0.0012649110640673528,5,17.6,0.9659809027777777,0.176,13.0,85,351760113850,100,228.85947179794312,17.4,0.9674710648148148,0.174,15.6,86,800139113292,100,236.1904697418213,17.2,0.96171875,0.172,14.0,87,174096585781,100,245.70248770713806,17.4,0.964861111111111,0.174,15.6,88,865262255400,100,239.96854615211487,17.4,0.970162037037037,0.174,12.8,89,512313529334,100,206.04532766342163,1156.766303062439,245.8550796508789
18,184,18.4,5,1,10,14,12,13,9,13,9,11,11,14,0,0,0.136205266807798,0.9341060276298798,15.561030790911094,0,0,0,0,0,0,0,0,11.68,14.0,0.9583944444444444,0.14,1.2936769303036983,0.12649110640673472,0.00809613893818821,0.0012649110640673442,5,14.0,0.9499490740740738,0.14,10.2,90,351760113850,100,226.54395866394043,14.2,0.9710972222222221,0.142,12.8,91,800139113292,100,158.87702918052673,14.0,0.9508425925925925,0.14,10.8,92,174096585781,100,205.10372519493103,13.8,0.9560046296296296,0.138,13.6,93,865262255400,100,195.07751369476318,14.0,0.9640787037037036,0.14,11.0,94,512313529334,100,197.36708331108093,982.9693100452423,226.716881275177
19,139,13.9,5,1,12,14,12,14,9,12,9,10,11,13,11,14,0.16942732930993798,0.9485438035341192,15.171629773128705,11,14,10,12,0,0,0,0,11.520000000000001,17.6,0.9674467592592592,0.176,1.2172099243762347,0.21908902300206698,0.0063009852417133475,0.0021908902300206666,5,18.0,0.9737847222222222,0.18,12.4,95,351760113850,100,185.6036148071289,17.4,0.963292824074074,0.174,9.8,96,800139113292,100,245.4712369441986,17.6,0.975,0.176,13.2,97,174096585781,100,187.72398400306702,17.6,0.9668576388888888,0.176,10.6,98,865262255400,100,215.98020887374878,17.4,0.9582986111111111,0.174,11.6,99,512313529334,100,259.4755754470825,1094.2546200752258,259.6130745410919
20,193,19.3,5,1,9,12,9,12,9,12,12,14,11,13,11,14,0.228,0.9348182921425442,23.158666502016953,12,14,10,13,12,14,0,0,17.759999999999998,23.04,0.9493189300411522,0.23040000000000002,1.7995555006723185,0.07999999999999971,0.004833545966202651,0.0008000000000000007,5,23.2,0.9456584362139916,0.232,16.8,100,351760113850,100,323.1831884384155,23.0,0.9435185185185184,0.23,16.0,101,800139113292,100,329.02230739593506,23.0,0.9478755144032921,0.23,21.2,102,174096585781,100,300.5078580379486,23.0,0.952741769547325,0.23,17.6,103,865262255400,100,292.95581579208374,23.0,0.9568004115226336,0.23,17.2,104,512313529334,100,253.44403839111328,1499.1132080554962,329.03918862342834
21,81,8.1,5,1,9,10,12,14,9,11,12,14,9,10,12,14,0.08582002227174253,0.8952985543874242,8.026996659238618,12,13,0,0,0,0,0,0,6.68,9.48,0.9415119047619045,0.0948,0.44899888641287294,0.2993325909419155,0.015404450124826758,0.0029933259094191557,5,9.2,0.9243849206349204,0.092,6.4,105,351760113850,100,311.0621039867401,9.2,0.9286706349206346,0.092,7.4,106,800139113292,100,285.6258225440979,10.0,0.9683333333333332,0.1,6.2,107,174096585781,100,207.73697876930237,9.4,0.9444841269841268,0.094,7.0,108,865262255400,100,270.989910364151,9.6,0.9416865079365077,0.096,6.4,109,512313529334,100,256.9600262641907,1332.374841928482,311.06930780410767
