10 3 9 3 10 1 10 0 10 0 10 0 9 0 9 1 9 2 12 1 11 
9 0 9 1 10 1 9 0 10 0 9 0 9 0 9 1 9 2 11 0 10 
10 3 9 3 10 0 9 0 10 0 10 0 9 0 9 1 9 2 11 0 11 
9 0 9 1 10 0 9 0 10 0 9 0 9 0 9 1 9 2 11 0 10 
11 3 9 3 10 1 9 0 10 0 9 0 9 0 9 0 9 2 12 1 11 
11 3 9 1 10 1 9 0 10 0 9 0 9 0 9 0 9 2 9 0 11 
10 3 9 3 10 0 9 0 10 0 10 0 9 0 9 1 9 2 11 0 11 
10 1 9 1 10 0 9 0 10 0 9 0 9 0 9 1 9 2 9 1 11 
11 1 9 1 10 1 9 0 10 0 9 0 9 0 9 1 9 2 9 0 11 
9 0 9 1 10 1 9 0 10 0 9 0 9 0 9 1 9 2 11 0 10 
10 1 9 1 10 0 9 0 10 0 9 0 9 0 9 1 9 2 9 0 11 
10 1 9 1 10 0 9 0 10 0 9 0 9 0 9 1 9 2 9 0 11 
