,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_5,utilization_rate_5,delivery_rate_5,num_risks_5,unique_id_5,seed_5,requests_per_hour_5,execution_time_5,num_delivered_6,utilization_rate_6,delivery_rate_6,num_risks_6,unique_id_6,seed_6,requests_per_hour_6,execution_time_6,num_delivered_7,utilization_rate_7,delivery_rate_7,num_risks_7,unique_id_7,seed_7,requests_per_hour_7,execution_time_7,num_delivered_8,utilization_rate_8,delivery_rate_8,num_risks_8,unique_id_8,seed_8,requests_per_hour_8,execution_time_8,num_delivered_9,utilization_rate_9,delivery_rate_9,num_risks_9,unique_id_9,seed_9,requests_per_hour_9,execution_time_9,sequential_execution_time,execution_time
0,21,2.1,5,0,9,10,12,14,11,14,12,14,9,12,10,14,0.07260285772618562,0.9060927566377525,7.931566553708825,0,0,0,0,0,0,0,0,5.92,7.959999999999999,0.9532993827160494,0.07959999999999999,0.6705221845696083,0.23323807579381217,0.015735542026099,0.0023323807579381226,10,8.0,0.9753626543209877,0.08,6.8,0,562064844504,100,234.74341320991516,8.0,0.943406635802469,0.08,5.4,1,876689368220,100,382.50982546806335,7.8,0.931003086419753,0.078,5.6,2,800145632683,100,390.5698435306549,8.2,0.9582407407407407,0.082,6.6,3,994952131968,100,301.8290946483612,7.6,0.9354513888888888,0.076,5.0,4,765280939687,100,405.3142566680908,8.0,0.9695640432098763,0.08,5.8,5,493379270686,100,281.32812547683716,8.4,0.9334915123456792,0.084,4.8,6,684899425519,100,369.0948724746704,8.0,0.9663194444444443,0.08,6.2,7,792283261917,100,309.43201875686646,8.0,0.968233024691358,0.08,6.6,8,747679609592,100,261.55088090896606,7.6,0.9519212962962963,0.076,6.4,9,377955474566,100,333.9927399158478,3270.3650710582733,406.2600402832031
1,159,15.9,5,0,10,12,10,11,12,14,9,13,11,13,11,14,0.18665045458302648,0.9462792788266317,20.874228099773056,9,11,11,14,0,0,0,0,14.64,18.940000000000005,0.9679045138888889,0.18939999999999999,2.0780760332576858,0.09165151389911648,0.007208411687419055,0.0009165151389911689,10,19.0,0.969537037037037,0.19,15.8,10,562064844504,100,191.44232058525085,18.8,0.9566145833333333,0.188,12.2,11,876689368220,100,282.4366047382355,19.0,0.982528935185185,0.19,17.0,12,800145632683,100,151.60062837600708,19.0,0.9660850694444444,0.19,17.2,13,994952131968,100,206.71489191055298,19.0,0.9726446759259259,0.19,12.8,14,765280939687,100,194.82130074501038,19.0,0.9573119212962962,0.19,13.6,15,493379270686,100,253.10895681381226,19.0,0.9635619212962963,0.19,11.8,16,684899425519,100,267.24146485328674,19.0,0.9712876157407406,0.19,17.4,17,792283261917,100,186.05177450180054,18.8,0.9691840277777778,0.188,15.6,18,747679609592,100,226.60131120681763,18.8,0.9702893518518518,0.188,13.0,19,377955474566,100,210.7292103767395,2170.7484641075134,282.8221309185028
2,91,9.1,5,0,9,13,11,12,9,11,11,14,12,13,12,14,0.1624105336155959,0.9167788359113129,18.694315559020353,10,14,9,11,0,0,0,0,12.54,16.999999999999996,0.9518495370370369,0.16999999999999998,2.051438519673451,0.25298221281346944,0.011690233708574662,0.002529822128134695,10,17.2,0.9482725694444444,0.172,11.0,20,562064844504,100,352.4767801761627,17.2,0.9489438657407406,0.172,10.4,21,876689368220,100,353.25895500183105,16.6,0.9358159722222221,0.166,10.0,22,800145632683,100,404.23730850219727,17.2,0.9691984953703705,0.172,15.8,23,994952131968,100,279.39448142051697,16.8,0.9595978009259258,0.168,12.6,24,765280939687,100,309.7522625923157,17.0,0.9403819444444442,0.17,11.6,25,493379270686,100,362.0973358154297,17.0,0.939710648148148,0.17,11.6,26,684899425519,100,377.7977659702301,17.4,0.970798611111111,0.174,14.8,27,792283261917,100,292.8585629463196,17.0,0.9594907407407407,0.17,15.8,28,747679609592,100,304.68408131599426,16.6,0.946284722222222,0.166,11.8,29,377955474566,100,356.8659212589264,3393.4234549999237,404.57490968704224
3,184,18.4,5,0,10,11,12,14,11,14,12,14,12,14,12,14,0.18731671842700026,0.9319301234806785,18.219427276650656,10,12,9,12,12,14,0,0,13.680000000000001,19.0,0.9506810699588476,0.19,1.5131424255502188,0.08944271909999127,0.0062503154927230345,0.0008944271909999167,10,19.0,0.9446656378600822,0.19,14.4,30,562064844504,100,370.102796792984,19.0,0.9486574074074073,0.19,11.8,31,876689368220,100,363.11856722831726,19.0,0.9498045267489711,0.19,14.4,32,800145632683,100,311.69526052474976,19.0,0.9503549382716048,0.19,14.6,33,994952131968,100,331.8630955219269,19.0,0.9620010288065841,0.19,13.8,34,765280939687,100,302.6744592189789,19.2,0.9625514403292181,0.192,14.0,35,493379270686,100,262.5150134563446,19.0,0.947659465020576,0.19,11.0,36,684899425519,100,356.7507839202881,19.0,0.9425874485596706,0.19,11.8,37,792283261917,100,365.1593952178955,19.0,0.948312757201646,0.19,15.4,38,747679609592,100,365.9423260688782,18.8,0.9502160493827159,0.188,15.6,39,377955474566,100,331.96217942237854,3361.7838773727417,370.1066052913666
4,114,11.4,5,0,12,13,11,12,9,12,10,13,11,12,10,12,0.162,0.9338942148332902,16.522544718682596,11,14,9,11,11,13,0,0,12.120000000000001,17.1,0.9654737654320986,0.17099999999999999,1.4675149062275312,0.29999999999999954,0.0105265168662695,0.00299999999999999,10,17.6,0.9823096707818928,0.176,10.2,40,562064844504,100,185.39622330665588,17.4,0.9798508230452673,0.174,11.6,41,876689368220,100,210.55714058876038,16.8,0.946599794238683,0.168,12.6,42,800145632683,100,322.72583055496216,17.0,0.967901234567901,0.17,14.0,43,994952131968,100,277.7836902141571,16.8,0.9578137860082303,0.168,13.8,44,765280939687,100,266.79692697525024,17.0,0.9594701646090533,0.17,13.2,45,493379270686,100,240.05419754981995,17.4,0.9659773662551439,0.174,12.2,46,684899425519,100,240.74533414840698,17.4,0.971707818930041,0.174,9.0,47,792283261917,100,266.26549792289734,16.8,0.9547993827160491,0.168,12.4,48,747679609592,100,311.80889439582825,16.8,0.968307613168724,0.168,12.2,49,377955474566,100,257.60762667655945,2579.7413623332977,323.1061134338379
5,98,9.8,5,0,11,14,11,14,10,13,9,11,9,10,10,13,0.18266120402024966,0.938111681015969,17.123748170731268,10,14,11,13,0,0,0,0,13.279999999999998,19.08,0.961900173611111,0.1908,1.2812493902437574,0.2712931993250098,0.007929497531714005,0.00271293199325011,10,19.4,0.973113425925926,0.194,12.4,50,562064844504,100,307.6403458118439,19.4,0.9627893518518519,0.194,10.6,51,876689368220,100,319.4456467628479,18.8,0.9551070601851852,0.188,13.8,52,800145632683,100,345.36310386657715,19.4,0.9684288194444444,0.194,13.0,53,994952131968,100,304.57726216316223,18.8,0.9715190972222223,0.188,15.4,54,765280939687,100,311.4419615268707,19.2,0.9583912037037037,0.192,12.6,55,493379270686,100,341.5202193260193,19.2,0.9513483796296295,0.192,13.4,56,684899425519,100,364.0479929447174,19.0,0.9703472222222221,0.19,13.0,57,792283261917,100,316.6890847682953,18.6,0.953509837962963,0.186,13.6,58,747679609592,100,382.6585831642151,19.0,0.9544473379629629,0.19,15.0,59,377955474566,100,357.6068823337555,3350.9910826683044,383.07655000686646
6,155,15.5,5,0,10,12,9,13,12,14,10,13,12,14,10,13,0.15626061230866017,0.9535603921566473,15.66313310741765,0,0,0,0,0,0,0,0,11.639999999999999,15.920000000000002,0.9711909722222222,0.15919999999999998,1.3410443691392169,0.09797958971132678,0.005876860021858272,0.000979795897113272,10,15.8,0.9590817901234568,0.158,12.2,60,562064844504,100,216.9486300945282,16.0,0.9714814814814815,0.16,10.6,61,876689368220,100,177.83286213874817,16.0,0.9741666666666666,0.16,11.8,62,800145632683,100,147.32587790489197,16.0,0.9784066358024691,0.16,12.8,63,994952131968,100,133.33643007278442,15.8,0.9710223765432097,0.158,13.2,64,765280939687,100,170.51712656021118,16.0,0.9771103395061728,0.16,11.2,65,493379270686,100,158.05025148391724,16.0,0.9716358024691357,0.16,8.2,66,684899425519,100,172.63964128494263,16.0,0.9689506172839505,0.16,12.2,67,792283261917,100,180.80648636817932,15.8,0.9631442901234567,0.158,12.0,68,747679609592,100,190.81326699256897,15.8,0.9769097222222222,0.158,12.2,69,377955474566,100,173.03855895996094,1721.309131860733,216.95321249961853
7,44,4.4,5,0,12,14,9,12,10,13,10,14,12,13,0,0,0.08679999999999999,0.9222266116064554,9.92243012354966,0,0,0,0,0,0,0,0,6.3,9.34,0.9570740740740741,0.0934,1.2074767078498865,0.22000000000000033,0.01161582082253957,0.002200000000000002,10,9.4,0.9506620370370371,0.094,5.4,70,562064844504,100,250.92366361618042,9.4,0.9676527777777778,0.094,6.0,71,876689368220,100,202.79562902450562,9.8,0.9663101851851852,0.098,7.0,72,800145632683,100,204.89779829978943,9.4,0.9511990740740742,0.094,7.8,73,994952131968,100,216.54302883148193,9.2,0.9659907407407408,0.092,6.4,74,765280939687,100,253.39287400245667,9.2,0.9322407407407407,0.092,8.4,75,493379270686,100,293.690217256546,9.6,0.9708888888888888,0.096,6.2,76,684899425519,100,183.46658062934875,9.0,0.9456527777777778,0.09,3.8,77,792283261917,100,252.7784023284912,9.2,0.9645972222222221,0.092,5.8,78,747679609592,100,239.8326632976532,9.2,0.9555462962962963,0.092,6.2,79,377955474566,100,233.30603909492493,2331.626896381378,294.1191122531891
8,180,18.0,5,0,10,12,11,12,12,14,11,13,11,14,10,14,0.1878504545830265,0.9313365723019693,19.90016447145963,9,13,9,10,0,0,0,0,13.819999999999999,19.060000000000002,0.9558703703703703,0.1906,2.0267214904865436,0.09165151389911647,0.008177932689466975,0.0009165151389911689,10,19.2,0.9595978009259258,0.192,13.4,80,562064844504,100,259.43200182914734,19.2,0.958761574074074,0.192,11.8,81,876689368220,100,286.97387051582336,19.0,0.9674942129629629,0.19,13.6,82,800145632683,100,241.56008100509644,19.0,0.9502748842592591,0.19,13.4,83,994952131968,100,299.4732789993286,19.0,0.9645283564814814,0.19,17.4,84,765280939687,100,274.7344172000885,19.0,0.9386631944444445,0.19,11.0,85,493379270686,100,354.1059341430664,19.2,0.9555526620370369,0.192,11.4,86,684899425519,100,309.86186695098877,19.0,0.9500347222222222,0.19,15.6,87,792283261917,100,310.324636220932,19.0,0.9508651620370367,0.19,16.4,88,747679609592,100,305.6874225139618,19.0,0.9629311342592592,0.19,14.2,89,377955474566,100,242.81891703605652,2884.9724264144897,354.47249937057495
9,158,15.8,5,0,11,14,10,13,12,14,11,12,10,13,10,11,0.20522005025157353,0.9528054135775192,20.49567157570057,10,13,10,12,10,13,0,0,14.26,20.92,0.9657957818930042,0.2092,2.0785571919001895,0.13266499161421552,0.004330122771828299,0.001326649916142161,10,21.0,0.9629218106995884,0.21,12.8,90,562064844504,100,253.20828127861023,21.0,0.9650360082304528,0.21,14.0,91,876689368220,100,287.2648320198059,21.0,0.9687757201646091,0.21,11.2,92,800145632683,100,232.5392029285431,21.0,0.9721553497942386,0.21,13.6,93,994952131968,100,226.5253758430481,20.6,0.9670524691358023,0.206,15.6,94,765280939687,100,271.50093626976013,21.0,0.9708384773662551,0.21,16.8,95,493379270686,100,213.31285619735718,21.0,0.9614403292181071,0.21,11.8,96,684899425519,100,280.4587948322296,21.0,0.9586162551440329,0.21,18.0,97,792283261917,100,271.2768135070801,20.8,0.9615792181069958,0.208,15.6,98,747679609592,100,287.9234917163849,20.8,0.9695421810699588,0.208,13.2,99,377955474566,100,255.10054516792297,2579.111129760742,288.33975768089294
