,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
0,42,4.2,5,0,11,12,11,14,12,13,12,13,9,11,9,11,0,0,0,0,0,0,0,0,6.08,7.0,0.9514753086419752,0.07,2.080769088582392,0.3098386676965933,0.013193503504099924,0.003098386676965931,5,7.2,0.9608873456790122,0.072,7.6,0,351760113850,100,172.14077019691467,7.2,0.9692052469135802,0.072,5.8,1,800139113292,100,172.08782291412354,7.0,0.9345833333333332,0.07,3.8,2,174096585781,100,243.6235408782959,6.4,0.9383024691358024,0.064,9.2,3,865262255400,100,218.4162368774414,7.2,0.9543981481481482,0.072,4.0,4,512313529334,100,208.34825325012207,1014.6166241168976,243.9709746837616
1,85,8.5,5,0,10,13,10,13,10,11,11,12,9,11,11,13,10,11,10,13,10,11,0,0,10.8,15.0,0.9496409465020574,0.15,1.7753872816937717,0.17888543819998254,0.012078249065688699,0.0017888543819998333,5,15.2,0.9358744855967078,0.152,9.6,5,351760113850,100,298.9532959461212,14.8,0.9344855967078188,0.148,13.4,6,800139113292,100,307.92059993743896,15.2,0.9630812757201644,0.152,8.8,7,174096585781,100,240.98369336128235,15.0,0.9551748971193413,0.15,9.8,8,865262255400,100,263.7972674369812,14.8,0.9595884773662551,0.148,12.4,9,512313529334,100,252.07285618782043,1363.7277128696442,308.09805560112
2,153,15.3,5,0,11,14,10,14,9,13,12,14,11,12,11,12,0,0,0,0,0,0,0,0,11.399999999999999,14.84,0.9728958333333331,0.1484,3.139426699255773,0.1496662954709577,0.006536686471994039,0.0014966629547095778,5,14.6,0.9676581790123456,0.146,11.2,10,351760113850,100,155.23538160324097,14.8,0.9637731481481481,0.148,8.0,11,800139113292,100,163.32491159439087,15.0,0.9800077160493826,0.15,11.2,12,174096585781,100,131.66379284858704,14.8,0.9801350308641973,0.148,17.2,13,865262255400,100,127.17557168006897,15.0,0.9729050925925925,0.15,9.4,14,512313529334,100,124.4629054069519,701.8625631332397,163.44881176948547
3,81,8.1,5,0,9,11,12,14,12,14,12,14,12,14,10,11,12,14,12,14,0,0,0,0,10.120000000000001,13.239999999999998,0.9629895833333333,0.13240000000000002,1.7186040847152673,0.1496662954709579,0.0038043800140977945,0.0014966629547095778,5,13.4,0.9621354166666666,0.134,11.8,15,351760113850,100,222.07972478866577,13.2,0.9584895833333332,0.132,10.8,16,800139113292,100,248.52641129493713,13.2,0.9700520833333333,0.132,8.6,17,174096585781,100,194.33495807647705,13.4,0.9619791666666666,0.134,11.8,18,865262255400,100,222.28950119018555,13.0,0.9622916666666665,0.13,7.6,19,512313529334,100,227.22611546516418,1114.4567108154297,248.70241045951843
4,139,13.9,5,0,12,14,12,14,9,13,9,11,11,13,12,14,11,14,11,14,0,0,0,0,14.440000000000001,19.400000000000002,0.9658865740740741,0.194,0.9911609354691093,0.2828427124746195,0.008102339105718377,0.0028284271247461927,5,19.8,0.9713686342592591,0.198,14.6,20,351760113850,100,187.34490942955017,19.6,0.9750983796296295,0.196,16.2,21,800139113292,100,189.8708233833313,19.0,0.9546903935185185,0.19,14.2,22,174096585781,100,272.20151352882385,19.4,0.9705353009259259,0.194,13.2,23,865262255400,100,202.10432863235474,19.2,0.9577401620370369,0.192,14.0,24,512313529334,100,246.7088589668274,1098.2304339408875,272.3078725337982
5,165,16.5,5,0,10,12,12,14,9,13,10,14,10,13,12,14,0,0,0,0,0,0,0,0,13.080000000000002,16.919999999999998,0.9711211419753086,0.16920000000000002,2.232845717912458,0.09797958971132678,0.007628592558942068,0.000979795897113272,5,16.8,0.9648804012345678,0.168,15.6,25,351760113850,100,165.33033800125122,17.0,0.9752932098765431,0.17,11.2,26,800139113292,100,146.53080439567566,16.8,0.9593981481481481,0.168,10.4,27,174096585781,100,190.99808406829834,17.0,0.9790393518518519,0.17,15.8,28,865262255400,100,130.10419464111328,17.0,0.9769945987654319,0.17,12.4,29,512313529334,100,150.65594911575317,783.6193702220917,191.01495599746704
6,193,19.3,5,0,9,12,9,12,9,10,9,12,11,14,11,14,12,14,10,13,12,14,0,0,18.839999999999996,23.080000000000002,0.9530473251028807,0.23080000000000003,2.1143320458244017,0.09797958971132678,0.006332123250272718,0.000979795897113272,5,23.2,0.941795267489712,0.232,16.2,30,351760113850,100,327.3856556415558,23.0,0.9522788065843621,0.23,17.4,31,800139113292,100,319.5849964618683,23.2,0.9563991769547324,0.232,18.6,32,174096585781,100,276.2516837120056,23.0,0.953883744855967,0.23,22.4,33,865262255400,100,309.6223564147949,23.0,0.9608796296296297,0.23,19.6,34,512313529334,100,263.1114318370819,1495.9561240673065,327.56479954719543
7,85,8.5,5,0,11,13,11,14,10,13,12,14,9,12,10,12,9,11,11,14,0,0,0,0,12.8,17.68,0.9639131944444443,0.17679999999999998,3.1698580409854316,0.2712931993250105,0.007302896261759025,0.00271293199325011,5,17.6,0.9536284722222221,0.176,8.6,35,351760113850,100,295.2014834880829,18.2,0.9763194444444444,0.182,17.2,36,800139113292,100,195.68055152893066,17.6,0.9649768518518518,0.176,13.8,37,174096585781,100,249.40070915222168,17.6,0.9629398148148148,0.176,14.6,38,865262255400,100,262.7435829639435,17.4,0.9617013888888888,0.174,9.8,39,512313529334,100,262.50393629074097,1265.5302634239197,295.2083652019501
8,147,14.7,5,0,12,13,10,14,10,13,12,14,10,11,9,10,0,0,0,0,0,0,0,0,8.64,11.8,0.9666674382716046,0.118,0.7939773296511684,0.17888543819998334,0.014167548857655317,0.0017888543819998273,5,11.6,0.9683680555555553,0.116,8.6,40,351760113850,100,181.6637578010559,11.8,0.9413695987654318,0.118,10.0,41,800139113292,100,211.62830066680908,12.0,0.9845486111111109,0.12,8.2,42,174096585781,100,124.32440710067749,11.6,0.9730362654320985,0.116,8.8,43,865262255400,100,174.83991265296936,12.0,0.9660146604938271,0.12,7.6,44,512313529334,100,169.60038709640503,862.0567653179169,211.79300212860107
9,184,18.4,5,0,10,14,12,13,9,13,11,14,10,12,0,0,0,0,0,0,0,0,0,0,11.399999999999999,13.959999999999999,0.956360185185185,0.1396,0.7042726744663604,0.07999999999999971,0.005491100950023318,0.0008000000000000007,5,14.0,0.9567083333333333,0.14,11.2,45,351760113850,100,181.72039270401,14.0,0.9581574074074073,0.14,12.2,46,800139113292,100,178.9730167388916,14.0,0.9459768518518518,0.14,10.2,47,174096585781,100,190.31892323493958,13.8,0.9587962962962961,0.138,12.0,48,865262255400,100,169.94483613967896,14.0,0.962162037037037,0.14,11.4,49,512313529334,100,171.55422949790955,892.5113983154297,190.43842220306396
10,199,19.9,5,0,9,11,10,12,10,14,12,13,11,12,9,11,12,13,9,13,11,14,0,0,15.639999999999997,20.24,0.9462181069958847,0.2024,1.3290598180668918,0.14966629547095714,0.004587576380013382,0.001496662954709566,5,20.4,0.9411599794238682,0.204,15.4,50,351760113850,100,268.20878887176514,20.2,0.9408307613168722,0.202,18.0,51,800139113292,100,265.22688388824463,20.4,0.9510802469135802,0.204,14.4,52,174096585781,100,253.48477387428284,20.2,0.9466229423868311,0.202,14.4,53,865262255400,100,244.1636996269226,20.0,0.9513966049382715,0.2,16.0,54,512313529334,100,237.15070486068726,1268.2348511219025,268.2161223888397
11,17,1.7,5,0,10,12,10,11,11,13,11,13,0,0,0,0,0,0,0,0,0,0,0,0,1.7200000000000002,3.28,0.9333611111111111,0.0328,0.4664761515876241,0.09797958971132699,0.011852508752773352,0.000979795897113272,5,3.4,0.9373263888888888,0.034,2.2,55,351760113850,100,211.01551723480225,3.4,0.9284722222222221,0.034,1.4,56,800139113292,100,222.3099706172943,3.2,0.9129513888888887,0.032,1.8,57,174096585781,100,232.45586133003235,3.2,0.9470833333333333,0.032,2.2,58,865262255400,100,199.95652651786804,3.2,0.9409722222222222,0.032,1.0,59,512313529334,100,205.15351510047913,1070.891390800476,232.56998300552368
12,87,8.7,5,1,10,12,9,11,10,13,12,14,9,12,12,13,10,12,9,12,11,14,0,0,14.0,18.6,0.9575174897119341,0.186,1.6540858502508267,0.25298221281347116,0.011783550908278595,0.002529822128134706,5,18.8,0.9416049382716049,0.188,14.0,60,351760113850,100,325.410444021225,19.0,0.9751286008230452,0.19,13.8,61,800139113292,100,219.14375972747803,18.4,0.9558539094650206,0.184,13.2,62,174096585781,100,280.6007113456726,18.4,0.9494958847736625,0.184,17.0,63,865262255400,100,286.9164848327637,18.4,0.9655041152263374,0.184,12.0,64,512313529334,100,257.3584403991699,1369.4298403263092,325.4183259010315
13,195,19.5,5,1,9,11,11,13,10,13,12,13,12,13,9,11,11,14,0,0,0,0,0,0,9.68,14.0,0.944579365079365,0.14,1.6129476122924762,0.0,0.007209670130002046,0.0,5,14.0,0.9498280423280422,0.14,9.6,65,351760113850,100,221.5705029964447,14.0,0.9474007936507937,0.14,10.8,66,800139113292,100,215.78942036628723,14.0,0.9340013227513226,0.14,7.4,67,174096585781,100,244.77325868606567,14.0,0.9532275132275131,0.14,12.0,68,865262255400,100,186.3789324760437,14.0,0.9384391534391534,0.14,8.6,69,512313529334,100,247.80479621887207,1116.3169107437134,247.9434015750885
14,192,19.2,5,1,9,12,9,11,9,10,11,12,11,12,12,14,10,12,11,13,0,0,0,0,10.84,14.040000000000001,0.9431099537037035,0.14040000000000002,1.6704490414256883,0.07999999999999971,0.0029307068556987835,0.0007999999999999895,5,14.2,0.942980324074074,0.142,9.0,70,351760113850,100,241.72072577476501,14.0,0.9397453703703702,0.14,13.8,71,800139113292,100,265.8916697502136,14.0,0.9462499999999998,0.14,11.4,72,174096585781,100,246.72258257865906,14.0,0.9399942129629628,0.14,10.2,73,865262255400,100,253.70587301254272,14.0,0.946579861111111,0.14,9.8,74,512313529334,100,236.19958543777466,1244.240436553955,266.0581474304199
15,199,19.9,5,1,9,11,10,12,9,12,10,13,11,12,11,13,9,13,12,13,9,13,11,14,18.4,25.24,0.9510800925925926,0.2524,1.7389652095427326,0.23323807579381228,0.004958843517342819,0.002332380757938122,5,25.6,0.9504606481481481,0.256,18.4,75,351760113850,100,273.18592953681946,25.2,0.9448310185185184,0.252,15.6,76,800139113292,100,304.7028532028198,25.4,0.9565416666666666,0.254,18.0,77,174096585781,100,270.0159664154053,25.0,0.9466504629629628,0.25,19.0,78,865262255400,100,320.4571809768677,25.0,0.9569166666666666,0.25,21.0,79,512313529334,100,269.8956129550934,1438.2575430870056,320.5856182575226
16,153,15.3,5,1,11,14,10,14,9,13,12,14,11,12,11,12,0,0,0,0,0,0,0,0,11.399999999999999,14.84,0.9728958333333331,0.1484,3.139426699255773,0.1496662954709577,0.006536686471994039,0.0014966629547095778,5,14.6,0.9676581790123456,0.146,11.2,10,351760113850,100,155.23538160324097,14.8,0.9637731481481481,0.148,8.0,11,800139113292,100,163.32491159439087,15.0,0.9800077160493826,0.15,11.2,12,174096585781,100,131.66379284858704,14.8,0.9801350308641973,0.148,17.2,13,865262255400,100,127.17557168006897,15.0,0.9729050925925925,0.15,9.4,14,512313529334,100,124.4629054069519,701.8625631332397,0.002355337142944336
