,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
62,13,1.3,12,5,13,20,11,18,10,18,16,21,10,16,16,21,19,21,13,17,14,15,18,20,0.07230559829069945,0.9368756470167987,6.438287606613722,4.95,8.133333333333333,0.9696248015873014,0.08133333333333334,0.4960958688712405,0.3009245014211297,0.010916384856834228,0.003009245014211299,5,7.833333333333333,0.9714265211640212,0.07833333333333334,4.5,250,607963662971,100,1024.61665391922,7.75,0.9822345238095236,0.0775,4.25,251,602611633635,100,939.089188337326,8.166666666666666,0.9492356150793648,0.08166666666666667,5.25,252,948500063345,100,1300.4457550048828,8.416666666666666,0.9726002314814813,0.08416666666666667,5.583333333333333,253,992957841332,100,967.3247227668762,8.5,0.9726271164021162,0.085,5.166666666666667,254,520888602397,100,1193.6463584899902,5425.122678518295,1300.7332754135132
63,10,1.0,12,5,15,21,19,21,16,17,13,19,16,19,16,21,15,19,16,18,0,0,0,0,0.037209608976375395,0.9372932761362601,3.134767985741633,2.65,4.333333333333333,0.9615824074074071,0.043333333333333335,0.16158932858054426,0.20412414523193143,0.008096377090382328,0.0020412414523193136,5,4.583333333333333,0.9602488425925925,0.04583333333333333,2.75,255,607963662971,100,1009.8889989852905,4.0,0.9526232638888887,0.04,2.9166666666666665,256,602611633635,100,926.6759164333344,4.333333333333333,0.9541979166666665,0.043333333333333335,2.5,257,948500063345,100,870.4091918468475,4.25,0.9662413194444442,0.0425,2.5,258,992957841332,100,815.1509618759155,4.5,0.9746006944444441,0.045,2.5833333333333335,259,520888602397,100,663.3978128433228,4285.522881984711,1009.90381026268
64,16,1.6,12,5,10,16,10,12,15,21,10,12,15,21,13,16,14,15,15,18,0,0,0,0,0.05081669986732963,0.9117386049177378,5.888057032432474,4.033333333333333,5.5,0.9614965277777776,0.05500000000000001,0.618241233033047,0.1394433377556793,0.01658597428667993,0.0013944333775567925,5,5.5,0.9393576388888887,0.055,3.25,260,607963662971,100,1254.4484627246857,5.416666666666667,0.9600405092592591,0.05416666666666667,4.666666666666667,261,602611633635,100,1024.9296298027039,5.333333333333333,0.948767361111111,0.05333333333333334,3.4166666666666665,262,948500063345,100,1084.4437265396118,5.5,0.9741145833333332,0.055,4.083333333333333,263,992957841332,100,923.7483313083649,5.75,0.985202546296296,0.0575,4.75,264,520888602397,100,773.309041261673,5060.879191637039,1254.464390039444
65,10,1.0,12,5,14,17,15,21,16,21,17,21,9,20,18,21,13,19,18,20,0,0,0,0,0.051202472528074604,0.9083984325308047,4.602869304816599,3.6333333333333337,5.816666666666666,0.9584177925084173,0.058166666666666665,0.32317865716108846,0.23213980461973513,0.01667311999253755,0.0023213980461973547,5,6.083333333333333,0.9681366266835016,0.060833333333333336,3.3333333333333335,265,607963662971,100,1026.8037767410278,5.666666666666667,0.9700031039562289,0.056666666666666664,3.25,266,602611633635,100,1075.9707427024841,5.75,0.9687842487373736,0.0575,3.9166666666666665,267,948500063345,100,1027.8180973529816,5.5,0.9592004419191917,0.055,3.5833333333333335,268,992957841332,100,1138.7462048530579,6.083333333333333,0.9259645412457912,0.060833333333333336,4.083333333333333,269,520888602397,100,1624.4336845874786,5893.77250623703,1624.760313987732
66,10,1.0,12,5,16,21,9,16,11,19,15,21,15,21,16,19,16,21,11,15,14,16,11,12,0.05867969545700208,0.9181580324212847,6.2052945357246845,4.55,6.933333333333333,0.9598304695767194,0.06933333333333333,0.5517648452415616,0.35512126254437526,0.013890812385144904,0.003551212625443751,5,6.333333333333333,0.9505260251322751,0.06333333333333334,4.0,270,607963662971,100,1419.30912733078,7.166666666666667,0.9574173941798939,0.07166666666666667,3.8333333333333335,271,602611633635,100,1423.7426278591156,7.333333333333333,0.978283167989418,0.07333333333333333,4.666666666666667,272,948500063345,100,1024.42911362648,6.75,0.9405067791005288,0.0675,5.25,273,992957841332,100,1636.928824186325,7.083333333333333,0.9724189814814814,0.07083333333333333,5.0,274,520888602397,100,1156.8681507110596,6661.27784371376,1637.4893894195557
67,12,1.2,12,5,14,20,18,21,17,18,15,21,16,19,19,21,14,17,16,21,18,20,0,0,0.048964466094067266,0.9205112891470912,4.083333333333334,2.9833333333333334,5.25,0.9549880658436212,0.052500000000000005,0.3666666666666667,0.117851130197758,0.011492258898843323,0.00117851130197758,5,5.25,0.9542355967078188,0.0525,2.3333333333333335,275,607963662971,100,953.7455880641937,5.416666666666667,0.9763436213991766,0.05416666666666667,2.9166666666666665,276,602611633635,100,678.2905375957489,5.333333333333333,0.9498590534979423,0.05333333333333334,3.0,277,948500063345,100,981.1294994354248,5.166666666666667,0.9418796296296296,0.051666666666666666,3.3333333333333335,278,992957841332,100,988.0230646133423,5.083333333333333,0.952622427983539,0.050833333333333335,3.3333333333333335,279,520888602397,100,1006.1598856449127,4607.348575353622,1006.5364787578583
68,13,1.3,12,5,15,21,17,21,16,21,15,21,16,21,19,21,11,15,15,17,18,20,0,0,0.058432235637169976,0.9306164364823241,5.491042774324355,4.1,6.4,0.9661119341563784,0.064,0.4636809247747852,0.18559214542766744,0.011831832558018125,0.001855921454276675,5,6.25,0.959747942386831,0.0625,4.0,280,607963662971,100,967.6285705566406,6.416666666666667,0.9757006172839505,0.06416666666666666,3.75,281,602611633635,100,855.5791499614716,6.333333333333333,0.9509722222222222,0.06333333333333334,4.0,282,948500063345,100,1132.1678533554077,6.25,0.983630658436214,0.0625,5.0,283,992957841332,100,673.5158231258392,6.75,0.9605082304526746,0.0675,3.75,284,520888602397,100,994.2798602581024,4623.171257257462,1132.3389210700989
69,10,1.0,12,5,15,21,18,21,9,10,15,21,16,20,19,21,11,13,15,21,18,20,0,0,0.0395,0.9081313164171109,4.531059038661741,2.8833333333333333,4.85,0.9575185185185184,0.0485,0.549241901776136,0.3,0.016462400700469174,0.0029999999999999996,5,5.166666666666667,0.9656944444444443,0.051666666666666666,3.1666666666666665,285,607963662971,100,1235.956464767456,4.666666666666667,0.9504012345679013,0.04666666666666667,2.9166666666666665,286,602611633635,100,1425.8970851898193,4.666666666666667,0.938176440329218,0.04666666666666667,1.8333333333333333,287,948500063345,100,1620.58585190773,4.5,0.9480015432098763,0.045,3.0833333333333335,288,992957841332,100,1584.9770965576172,5.25,0.9853189300411521,0.0525,3.4166666666666665,289,520888602397,100,950.7008056640625,6818.117304086685,1620.769035100937
70,13,1.3,12,5,15,21,19,21,16,21,11,17,16,21,19,21,13,17,15,16,18,20,0,0,0.0544924320524919,0.9155665082322763,6.119966498950986,3.4666666666666663,5.816666666666666,0.9516933127572014,0.058166666666666665,0.8844332774281066,0.12247448713915911,0.012042268174975047,0.0012247448713915894,5,5.583333333333333,0.9442983539094647,0.05583333333333333,4.333333333333333,165,607963662971,100,925.1586046218872,5.916666666666667,0.9412427983539092,0.059166666666666666,2.8333333333333335,166,602611633635,100,1100.8689959049225,5.833333333333333,0.9488647119341562,0.058333333333333334,2.1666666666666665,167,948500063345,100,999.5165450572968,5.833333333333333,0.9750586419753086,0.058333333333333334,4.5,168,992957841332,100,776.2388236522675,5.916666666666667,0.9490020576131685,0.059166666666666666,3.5,169,520888602397,100,946.6337897777557,4748.41675901413,0.0023741722106933594
71,13,1.3,12,5,15,21,19,21,16,21,11,17,16,21,19,21,13,17,15,16,18,20,0,0,0.0544924320524919,0.9155665082322763,6.119966498950986,3.4666666666666663,5.816666666666666,0.9516933127572014,0.058166666666666665,0.8844332774281066,0.12247448713915911,0.012042268174975047,0.0012247448713915894,5,5.583333333333333,0.9442983539094647,0.05583333333333333,4.333333333333333,165,607963662971,100,925.1586046218872,5.916666666666667,0.9412427983539092,0.059166666666666666,2.8333333333333335,166,602611633635,100,1100.8689959049225,5.833333333333333,0.9488647119341562,0.058333333333333334,2.1666666666666665,167,948500063345,100,999.5165450572968,5.833333333333333,0.9750586419753086,0.058333333333333334,4.5,168,992957841332,100,776.2388236522675,5.916666666666667,0.9490020576131685,0.059166666666666666,3.5,169,520888602397,100,946.6337897777557,4748.41675901413,0.0020551681518554688
