,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
10,18,1.8,12,0,19,21,9,15,14,18,12,21,18,21,9,18,12,16,18,20,15,16,0,0,5.983333333333333,8.166666666666668,0.9580917352537721,0.16333333333333333,0.4696334267868455,0.22973414586817048,0.013124605994564048,0.004594682917363408,5,8.083333333333334,0.9363854595336076,0.16166666666666665,5.416666666666667,50,176125337656,50,771.1667196750641,7.833333333333333,0.9609156378600822,0.15666666666666668,5.416666666666667,51,172463627866,50,530.3245589733124,8.083333333333334,0.9734284979423867,0.16166666666666665,6.25,52,345200359899,50,505.5764856338501,8.333333333333334,0.968250171467764,0.16666666666666666,6.333333333333333,53,210514558348,50,536.81915974617,8.5,0.9514789094650202,0.17,6.5,54,307126938023,50,587.9324126243591,2931.8193366527557,0.0008263587951660156
11,93,9.3,12,0,9,13,15,16,18,21,10,20,13,15,14,17,0,0,0,0,0,0,0,0,6.65,8.633333333333333,0.9701297839506171,0.17266666666666666,1.1527744310527053,0.13540064007726627,0.010071429861972875,0.0027080128015453202,5,8.416666666666666,0.9525447530864196,0.16833333333333333,7.083333333333333,55,176125337656,50,383.70695304870605,8.583333333333334,0.9683495370370369,0.17166666666666666,4.416666666666667,56,172463627866,50,346.9023690223694,8.666666666666666,0.981537808641975,0.17333333333333334,7.75,57,345200359899,50,324.1757917404175,8.833333333333334,0.9781682098765431,0.17666666666666667,7.083333333333333,58,210514558348,50,331.36271619796753,8.666666666666666,0.970048611111111,0.17333333333333334,6.916666666666667,59,307126938023,50,352.2877824306488,1738.4356124401093,0.0008020401000976562
12,114,11.4,12,1,17,19,19,21,18,21,19,21,16,21,15,21,11,13,16,21,10,20,18,21,12.666666666666668,15.65,0.967246111111111,0.313,1.341640786499874,0.14337208778404345,0.005927762111356581,0.0028674417556808886,5,15.5,0.960246296296296,0.31,12.916666666666666,60,176125337656,50,493.59533977508545,15.583333333333334,0.9604898148148147,0.31166666666666665,11.416666666666666,61,172463627866,50,486.1425836086273,15.583333333333334,0.9744370370370369,0.31166666666666665,14.833333333333334,62,345200359899,50,424.19075560569763,15.916666666666666,0.9725018518518518,0.31833333333333336,11.083333333333334,63,210514558348,50,408.5322985649109,15.666666666666666,0.9685555555555554,0.31333333333333335,13.083333333333334,64,307126938023,50,424.5760223865509,2237.036999940872,0.0008232593536376953
13,19,1.9,12,1,11,21,15,16,14,17,14,21,13,21,13,19,16,21,12,13,10,15,0,0,7.2,9.533333333333333,0.9737908803644914,0.19066666666666668,0.7082843120291923,0.2718251071716684,0.006273275591197888,0.005436502143433372,5,9.583333333333334,0.9681622207524982,0.19166666666666668,6.416666666666667,30,176125337656,50,526.2268810272217,9.416666666666666,0.9829137272192826,0.18833333333333332,6.666666666666667,31,172463627866,50,513.5895283222198,9.166666666666666,0.965431363903586,0.18333333333333332,7.5,32,345200359899,50,565.5207648277283,10.0,0.976492394179894,0.2,8.416666666666666,33,210514558348,50,548.4513759613037,9.5,0.9759546957671955,0.19,7.0,34,307126938023,50,559.2685775756836,2713.057127714157,0.0008132457733154297
14,19,1.9,12,1,15,18,15,16,13,15,14,21,13,21,13,19,16,21,12,13,10,17,0,0,6.1833333333333345,8.266666666666667,0.9633511831275718,0.16533333333333333,0.9134793070696481,0.26562295750848747,0.009084056467985591,0.005312459150169739,5,8.0,0.9566185332157553,0.16,5.666666666666667,65,176125337656,50,600.0848035812378,8.0,0.9742584509112285,0.16,4.916666666666667,66,172463627866,50,616.8738040924072,8.166666666666666,0.9533476631393297,0.16333333333333333,6.5,67,345200359899,50,550.334883928299,8.583333333333334,0.9581648662551439,0.17166666666666666,7.666666666666667,68,210514558348,50,713.1498415470123,8.583333333333334,0.974366402116402,0.17166666666666666,6.166666666666667,69,307126938023,50,497.8181850910187,2978.261518239975,0.0008130073547363281
15,46,4.6,12,1,11,21,9,16,17,21,14,21,10,12,9,13,17,20,17,21,17,21,10,14,11.549999999999999,14.966666666666669,0.9748414550264549,0.29933333333333334,0.9000000000000001,0.20138409955990924,0.0020054330936767873,0.004027681991198189,5,14.833333333333334,0.9751591269841271,0.2966666666666667,10.166666666666666,70,176125337656,50,548.2884030342102,14.75,0.9774986772486771,0.295,13.0,71,172463627866,50,523.2959721088409,14.833333333333334,0.9762099206349205,0.2966666666666667,11.666666666666666,72,345200359899,50,520.693972826004,15.25,0.9735758597883597,0.305,11.5,73,210514558348,50,528.7861888408661,15.166666666666666,0.9717636904761904,0.30333333333333334,11.416666666666666,74,307126938023,50,560.7303719520569,2681.794908761978,0.0008225440979003906
16,37,3.7,12,1,12,21,10,15,14,15,9,19,15,21,9,15,17,21,14,19,10,11,0,0,10.450000000000001,13.1,0.9656448902606309,0.262,0.36742346141747695,0.16996731711975938,0.006862283983381438,0.003399346342395176,5,13.083333333333334,0.968114197530864,0.26166666666666666,10.583333333333334,75,176125337656,50,542.6939702033997,13.0,0.9687537722908091,0.26,10.0,76,172463627866,50,577.2344553470612,12.916666666666666,0.9520464677640602,0.25833333333333336,10.25,77,345200359899,50,664.0416696071625,13.416666666666666,0.9707980109739369,0.2683333333333333,10.333333333333334,78,210514558348,50,542.360271692276,13.083333333333334,0.9685120027434841,0.26166666666666666,11.083333333333334,79,307126938023,50,561.3827605247498,2887.713127374649,0.0008213520050048828
17,19,1.9,12,1,11,17,15,16,14,19,14,21,12,21,13,21,16,21,12,13,13,19,10,15,7.9,10.95,0.9747446186067018,0.219,1.0793516572461455,0.3009245014211299,0.007951150593228758,0.006018490028422591,5,10.583333333333334,0.9677880180776013,0.21166666666666667,6.0,80,176125337656,50,610.9099385738373,10.916666666666666,0.9874191688712519,0.21833333333333332,8.583333333333334,81,172463627866,50,513.6391594409943,10.666666666666666,0.9648946869488533,0.21333333333333335,8.333333333333334,82,345200359899,50,680.057074546814,11.25,0.9776788470017636,0.225,9.083333333333334,83,210514558348,50,593.1483130455017,11.333333333333334,0.9759423721340387,0.22666666666666666,7.5,84,307126938023,50,603.2822697162628,3001.03675532341,0.0008227825164794922
18,43,4.3,12,1,15,21,9,16,16,21,15,21,17,21,10,16,11,18,14,15,0,0,0,0,10.8,12.366666666666665,0.9789112764550264,0.24733333333333332,1.245659129403653,0.17159383568311654,0.003644102890064242,0.0034318767136623375,5,12.416666666666666,0.9847838128306877,0.24833333333333332,10.333333333333334,85,176125337656,50,349.6118302345276,12.166666666666666,0.9797141203703703,0.24333333333333335,9.75,86,172463627866,50,417.4527316093445,12.25,0.9748135747354497,0.245,13.25,87,345200359899,50,461.79318499565125,12.666666666666666,0.9799838789682538,0.25333333333333335,10.333333333333334,88,210514558348,50,410.4445333480835,12.333333333333334,0.9752609953703701,0.24666666666666667,10.333333333333334,89,307126938023,50,454.98979353904724,2094.292073726654,0.0008089542388916016
19,85,8.5,12,1,18,21,15,21,14,21,10,16,13,16,15,19,19,21,15,21,0,0,0,0,10.833333333333332,13.533333333333335,0.9752739748677248,0.27066666666666667,0.9588766575761681,0.2147349787787517,0.004096770415747544,0.004294699575575039,5,13.333333333333334,0.9770684523809523,0.26666666666666666,11.75,90,176125337656,50,397.2637324333191,13.333333333333334,0.968814484126984,0.26666666666666666,10.0,91,172463627866,50,398.70865297317505,13.5,0.9729443617724867,0.27,12.166666666666666,92,345200359899,50,372.4403007030487,13.916666666666666,0.9809023644179893,0.2783333333333333,10.5,93,210514558348,50,317.11396312713623,13.583333333333334,0.9766402116402115,0.27166666666666667,9.75,94,307126938023,50,381.7104856967926,1867.2371349334717,0.0008099079132080078
