,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
38,12,1.2,5,3,12,14,12,14,9,10,12,13,11,14,0.13200000000000003,0.8793986927768866,7.298321675037805,12,13,9,12,11,13,12,14,0,0,4.319999999999999,7.08,0.933401234567901,0.1416,0.9927738916792685,0.16000000000000014,0.018000847263671446,0.0031999999999999906,5,7.2,0.9383024691358024,0.144,3.0,170,119586514258,50,236.80227398872375,7.0,0.9345936213991768,0.14,3.8,171,922485741825,50,250.28242111206055,7.2,0.9526697530864197,0.144,4.6,172,886535215268,50,203.0376353263855,7.2,0.8994855967078189,0.144,4.2,173,312248258909,50,282.009001493454,6.8,0.9419547325102879,0.136,6.0,174,897057706678,50,209.8373589515686,1181.9686908721924,282.1320505142212
39,15,1.5,5,3,12,13,12,14,11,14,12,14,11,12,0.10479999999999999,0.8980124472204499,7.322399040767232,9,13,0,0,0,0,0,0,0,0,4.319999999999999,5.72,0.9503341049382715,0.11439999999999999,1.0007996802557444,0.16000000000000014,0.017440552572607206,0.003199999999999998,5,6.0,0.9274035493827159,0.12,4.0,175,119586514258,50,153.988299369812,5.6,0.9311728395061728,0.112,4.0,176,922485741825,50,166.03301215171814,5.6,0.9597183641975309,0.112,4.2,177,886535215268,50,125.20830607414246,5.6,0.9651157407407406,0.112,3.2,178,312248258909,50,122.14539742469788,5.8,0.9682600308641974,0.116,6.2,179,897057706678,50,113.51777529716492,680.8927903175354,166.072758436203
40,24,2.4,5,3,11,12,9,10,9,11,10,12,10,12,0.072,0.8718333534816275,4.4039920318408905,0,0,0,0,0,0,0,0,0,0,3.4,4.32,0.9407666666666664,0.08639999999999999,0.3346640106136302,0.23999999999999977,0.02297777106167963,0.004799999999999998,5,4.2,0.9414166666666665,0.084,3.4,180,119586514258,50,147.52995538711548,4.0,0.9156111111111109,0.08,3.0,181,922485741825,50,164.9461567401886,4.2,0.917111111111111,0.084,4.0,182,886535215268,50,176.98857259750366,4.6,0.9768333333333331,0.092,3.2,183,312248258909,50,107.30499458312988,4.6,0.9528611111111109,0.092,3.4,184,897057706678,50,131.53773474693298,728.3074140548706,177.1704318523407
41,81,8.1,5,3,11,14,9,11,12,14,9,10,10,13,0.22000000000000003,0.9291076451244602,11.395647024893403,9,11,0,0,0,0,0,0,0,0,9.56,11.24,0.9635879629629629,0.22480000000000003,0.611882341631134,0.08000000000000042,0.011493439279500882,0.0016000000000000014,5,11.2,0.94125,0.224,8.8,185,119586514258,50,143.4733989238739,11.2,0.9683333333333334,0.224,9.2,186,922485741825,50,126.29195523262024,11.4,0.9741666666666666,0.228,9.4,187,886535215268,50,109.67807579040527,11.2,0.9682098765432098,0.224,9.8,188,312248258909,50,130.24709248542786,11.2,0.9659799382716048,0.224,10.6,189,897057706678,50,132.21465849876404,641.9051809310913,143.48425126075745
42,25,2.5,5,3,12,14,9,12,12,14,9,10,10,12,0.11193113668440163,0.8329531346221097,6.7104439773907485,9,11,0,0,0,0,0,0,0,0,4.12,6.76,0.9173379629629629,0.13520000000000001,0.8634813257969162,0.3878143885933064,0.028128276113617696,0.0077562877718661246,5,7.4,0.9411111111111111,0.148,3.4,190,119586514258,50,157.01334929466248,6.8,0.9454475308641975,0.136,4.6,191,922485741825,50,168.38574409484863,6.6,0.9239120370370367,0.132,4.8,192,886535215268,50,199.73096871376038,6.2,0.8675077160493826,0.124,2.8,193,312248258909,50,258.48158717155457,6.8,0.9087114197530863,0.136,5.0,194,897057706678,50,202.71351027488708,986.3251595497131,258.6469235420227
43,25,2.5,5,3,12,14,9,11,12,14,9,10,10,12,0.10392015936318218,0.8297476565256915,5.7491004283348275,9,11,0,0,0,0,0,0,0,0,4.36,6.199999999999999,0.9193981481481479,0.124,0.46303347611160894,0.3346640106136303,0.029883497207485458,0.006693280212272606,5,6.6,0.9335416666666666,0.132,3.6,120,119586514258,50,168.08245062828064,6.4,0.9516203703703702,0.128,4.4,121,922485741825,50,157.27369284629822,6.2,0.931736111111111,0.124,4.6,122,886535215268,50,178.979106426239,5.6,0.8640509259259259,0.112,4.2,123,312248258909,50,254.51525330543518,6.2,0.9160416666666665,0.124,5.0,124,897057706678,50,196.38691353797913,955.2374167442322,0.002341747283935547
44,25,2.5,5,3,11,14,11,12,12,14,9,10,10,12,0.11128020100629407,0.9301558296521419,5.443632614803889,10,12,0,0,0,0,0,0,0,0,3.6800000000000006,6.36,0.9477006172839506,0.1272,0.5878775382679627,0.26532998322843193,0.005848262543936218,0.005306599664568644,5,6.4,0.9442438271604937,0.128,3.6,195,119586514258,50,151.1696105003357,6.4,0.9500154320987654,0.128,4.2,196,922485741825,50,144.22353529930115,6.2,0.9555864197530862,0.124,3.8,197,886535215268,50,146.66660141944885,6.0,0.9384645061728394,0.12,2.6,198,312248258909,50,158.40166854858398,6.8,0.9501929012345678,0.136,4.2,199,897057706678,50,127.24135494232178,727.7027707099915,158.4519259929657
45,13,1.3,5,3,11,14,9,11,12,13,11,14,11,13,0.08959999999999999,0.9181978073652667,8.978987750541604,9,12,0,0,0,0,0,0,0,0,4.040000000000001,5.44,0.9383132716049382,0.10879999999999998,1.6463292501805342,0.31999999999999995,0.006705154746557141,0.006399999999999997,5,6.0,0.9498379629629629,0.12,5.2,200,119586514258,50,173.78360152244568,5.4,0.9307021604938271,0.108,4.6,201,922485741825,50,220.34223699569702,5.4,0.9340123456790123,0.108,1.4,202,886535215268,50,208.45271635055542,5.0,0.9412885802469134,0.1,3.0,203,312248258909,50,208.06129336357117,5.4,0.9357253086419752,0.108,6.0,204,897057706678,50,208.48153066635132,1019.1213788986206,220.43860006332397
46,25,2.5,5,3,11,12,9,11,12,14,9,12,11,13,0.10559999999999999,0.9165261083608754,7.391510153071851,11,12,0,0,0,0,0,0,0,0,5.040000000000001,6.24,0.950935185185185,0.1248,0.7838367176906169,0.31999999999999995,0.011469692274769877,0.006400000000000002,5,6.8,0.9370138888888887,0.136,5.4,205,119586514258,50,151.90085864067078,6.2,0.9581712962962962,0.124,4.2,206,922485741825,50,119.86855006217957,6.2,0.9687268518518518,0.124,5.8,207,886535215268,50,121.69226717948914,5.8,0.9412962962962962,0.116,4.0,208,312248258909,50,146.97476768493652,6.2,0.9494675925925925,0.124,5.8,209,897057706678,50,132.49609303474426,672.9325366020203,151.90853142738342
47,15,1.5,5,3,12,14,12,13,12,14,10,14,9,10,0.10400000000000001,0.9223651967687188,6.513589727100337,9,13,0,0,0,0,0,0,0,0,4.52,6.16,0.9549999999999998,0.1232,0.6645299090334458,0.32,0.010878267743760382,0.0063999999999999994,5,6.4,0.9361805555555555,0.128,4.4,210,119586514258,50,185.78231763839722,6.6,0.9499652777777777,0.132,4.8,211,922485741825,50,158.46885871887207,6.2,0.9600694444444443,0.124,5.6,212,886535215268,50,171.57194256782532,5.8,0.9621527777777775,0.116,3.6,213,312248258909,50,150.02348732948303,5.8,0.9666319444444443,0.116,4.2,214,897057706678,50,149.5107660293579,815.3573722839355,185.79187750816345
