,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_5,utilization_rate_5,delivery_rate_5,num_risks_5,unique_id_5,seed_5,requests_per_hour_5,execution_time_5,num_delivered_6,utilization_rate_6,delivery_rate_6,num_risks_6,unique_id_6,seed_6,requests_per_hour_6,execution_time_6,num_delivered_7,utilization_rate_7,delivery_rate_7,num_risks_7,unique_id_7,seed_7,requests_per_hour_7,execution_time_7,num_delivered_8,utilization_rate_8,delivery_rate_8,num_risks_8,unique_id_8,seed_8,requests_per_hour_8,execution_time_8,num_delivered_9,utilization_rate_9,delivery_rate_9,num_risks_9,unique_id_9,seed_9,requests_per_hour_9,execution_time_9,sequential_execution_time,execution_time
0,51,5.1,12,0,12,13,11,21,14,18,9,20,18,20,14,16,14,21,19,20,18,21,0.12763366016213573,0.9514961914306331,11.313134999619795,0,0,10.724999999999998,12.933333333333332,0.9616055936347602,0.12933333333333333,0.5881349996197961,0.16996731711975946,0.010109402204126988,0.0016996731711975896,10,12.75,0.9446431176847843,0.1275,10.666666666666666,0,440522424025,100,1361.9373297691345,13.0,0.9545476858532415,0.13,9.833333333333334,1,238603274742,100,1187.5291485786438,13.166666666666666,0.9689256987868097,0.13166666666666665,10.416666666666666,2,558972734419,100,1092.4921309947968,12.666666666666666,0.9474299943883275,0.12666666666666668,10.5,3,246004124312,100,1373.870061635971,13.083333333333334,0.9656301306717974,0.13083333333333333,11.416666666666666,4,975157925650,100,1063.5183155536652,12.916666666666666,0.971188498744054,0.12916666666666668,10.25,5,413543509143,100,1043.036945104599,12.833333333333334,0.953778773181551,0.12833333333333333,10.416666666666666,6,504724348874,100,1330.1193134784698,13.0,0.9674874405429958,0.13,11.916666666666666,7,873361574649,100,1057.2323966026306,12.75,0.9757657126823792,0.1275,10.583333333333334,8,230720433789,100,1034.3934564590454,13.166666666666666,0.9666588838116614,0.13166666666666665,11.25,9,561937272461,100,1081.6222441196442,11625.7513422966,1375.0265710353851
1,197,19.7,12,0,16,20,15,16,9,17,15,21,9,11,12,15,13,21,11,13,12,21,0.21575379573749137,0.9585198535723519,18.777222083263844,13,21,17.666666666666664,21.666666666666668,0.9634746913580245,0.21666666666666665,1.1105554165971787,0.091287092917528,0.0049548377856726365,0.0009128709291752802,10,21.666666666666668,0.9593537808641974,0.21666666666666667,17.833333333333332,10,440522424025,100,1369.3521039485931,21.75,0.9653807870370368,0.2175,16.916666666666668,11,238603274742,100,1276.266877412796,21.75,0.9645405092592592,0.2175,18.333333333333332,12,558972734419,100,1294.4682037830353,21.583333333333332,0.9655513117283949,0.21583333333333332,17.833333333333332,13,246004124312,100,1346.6813819408417,21.75,0.9720725308641975,0.2175,16.916666666666668,14,975157925650,100,1216.153026342392,21.583333333333332,0.9559780092592594,0.21583333333333332,18.0,15,413543509143,100,1523.5116724967957,21.583333333333332,0.9580038580246913,0.21583333333333332,16.25,16,504724348874,100,1476.1156866550446,21.833333333333332,0.9702905092592593,0.21833333333333332,17.5,17,873361574649,100,1110.3948483467102,21.583333333333332,0.9598850308641973,0.21583333333333332,16.666666666666668,18,230720433789,100,1390.8309199810028,21.583333333333332,0.963690586419753,0.21583333333333332,20.416666666666668,19,561937272461,100,1298.5240349769592,13302.29875588417,1523.9491033554077
2,78,7.8,12,0,10,16,12,16,14,21,17,18,15,16,14,16,11,15,17,21,15,21,0.1426795639517779,0.9571604040938939,11.41794720430873,16,21,10.874999999999998,14.375,0.9645591997354496,0.14375,0.5429472043087309,0.10704360482220941,0.007398795641555633,0.0010704360482220983,10,14.25,0.9641003968253967,0.1425,10.666666666666666,20,440522424025,100,1232.594830274582,14.416666666666666,0.9575027777777777,0.14416666666666667,11.25,21,238603274742,100,1075.3678238391876,14.583333333333334,0.9753771825396825,0.14583333333333334,12.0,22,558972734419,100,885.1829192638397,14.25,0.9673075396825395,0.1425,11.333333333333334,23,246004124312,100,1052.73188996315,14.25,0.9636876984126982,0.1425,10.833333333333334,24,975157925650,100,1254.4502305984497,14.5,0.9708718915343912,0.145,10.916666666666666,25,413543509143,100,1062.2153842449188,14.333333333333334,0.9576759259259259,0.14333333333333334,10.75,26,504724348874,100,1066.333508491516,14.333333333333334,0.9546138227513227,0.14333333333333334,10.166666666666666,27,873361574649,100,1118.559567451477,14.416666666666666,0.9579619047619046,0.14416666666666667,10.0,28,230720433789,100,1072.3342084884644,14.416666666666666,0.9764928571428569,0.14416666666666667,10.833333333333334,29,561937272461,100,951.4076735973358,10771.178036212921,1254.876623392105
3,97,9.7,12,0,18,21,13,18,9,16,14,16,10,20,12,21,16,21,18,20,18,21,0.17282541474085591,0.9677978880704775,14.604792390208098,0,0,13.675,17.458333333333336,0.9732138300999411,0.17458333333333334,0.9297923902080983,0.17579185924774135,0.005415942029463654,0.0017579185924774174,10,17.416666666666668,0.9781065059768762,0.17416666666666666,14.916666666666666,30,440522424025,100,850.8678500652313,17.5,0.972594307270233,0.175,13.166666666666666,31,238603274742,100,904.0618329048157,17.333333333333332,0.9707921320791689,0.17333333333333334,14.666666666666666,32,558972734419,100,902.4676938056946,17.416666666666668,0.9746457475994512,0.17416666666666666,13.0,33,246004124312,100,779.8289999961853,17.833333333333332,0.9825489417989418,0.17833333333333334,12.083333333333334,34,975157925650,100,623.7776107788086,17.416666666666668,0.9630802469135801,0.17416666666666666,12.583333333333334,35,413543509143,100,921.9150648117065,17.666666666666668,0.975206545169508,0.17666666666666667,13.416666666666666,36,504724348874,100,732.0979850292206,17.5,0.9752558299039779,0.175,14.083333333333334,37,873361574649,100,816.6215605735779,17.166666666666668,0.9745289535567312,0.17166666666666666,14.833333333333334,38,230720433789,100,816.9192500114441,17.333333333333332,0.9653790907309424,0.17333333333333334,14.0,39,561937272461,100,975.9627285003662,8324.52057647705,977.5279467105865
4,171,17.1,12,0,14,18,18,21,11,20,11,17,9,19,18,20,12,21,12,16,15,21,0.22113962038997195,0.9686955969208081,18.503364928200305,0,0,17.8,22.166666666666668,0.9722911694101507,0.22166666666666668,0.7033649282003063,0.05270462766947336,0.003595572489342603,0.0005270462766947333,10,22.083333333333332,0.9675543552812071,0.22083333333333333,17.583333333333332,40,440522424025,100,1148.3458387851715,22.166666666666668,0.9694303840877914,0.22166666666666668,18.75,41,238603274742,100,1115.201904296875,22.25,0.9772208504801098,0.2225,17.166666666666668,42,558972734419,100,815.5706188678741,22.25,0.977045267489712,0.2225,17.583333333333332,43,246004124312,100,945.6216323375702,22.166666666666668,0.9748921467764059,0.22166666666666668,18.333333333333332,44,975157925650,100,994.1527223587036,22.166666666666668,0.9722647462277093,0.22166666666666668,18.583333333333332,45,413543509143,100,1089.3268857002258,22.166666666666668,0.9762374828532236,0.22166666666666668,16.75,46,504724348874,100,993.1538798809052,22.166666666666668,0.9677753772290809,0.22166666666666668,17.833333333333332,47,873361574649,100,1135.4803674221039,22.083333333333332,0.970818244170096,0.22083333333333333,16.833333333333332,48,230720433789,100,1085.801438331604,22.166666666666668,0.9696728395061728,0.22166666666666668,18.583333333333332,49,561937272461,100,1022.2112064361572,10344.86649441719,1148.3500831127167
5,199,19.9,12,0,10,12,15,19,17,21,10,14,11,14,16,21,19,21,15,21,0,0,0.12568350341907228,0.9538456188958285,10.623341384816149,0,0,9.933333333333334,12.649999999999999,0.9599446759259258,0.1265,0.6900080514828151,0.08164965809277255,0.006099057030097249,0.0008164965809277274,10,12.666666666666666,0.962865162037037,0.12666666666666668,10.666666666666666,50,440522424025,100,1131.1890053749084,12.666666666666666,0.9567285879629629,0.12666666666666668,9.5,51,238603274742,100,1198.6004655361176,12.583333333333334,0.9620399305555555,0.12583333333333332,11.333333333333334,52,558972734419,100,1172.5505888462067,12.666666666666666,0.9587424768518517,0.12666666666666668,9.5,53,246004124312,100,1201.5827281475067,12.666666666666666,0.9523559027777777,0.12666666666666668,10.083333333333334,54,975157925650,100,1252.6219935417175,12.666666666666666,0.9613408564814814,0.12666666666666668,9.916666666666666,55,413543509143,100,1199.9695949554443,12.5,0.9490925925925925,0.125,8.75,56,504724348874,100,1370.9737119674683,12.666666666666666,0.9590063657407405,0.12666666666666668,10.0,57,873361574649,100,1193.642840385437,12.583333333333334,0.9656406249999999,0.12583333333333332,10.25,58,230720433789,100,1106.6252934932709,12.833333333333334,0.9716342592592592,0.12833333333333333,9.333333333333334,59,561937272461,100,956.8824005126953,11784.638622760773,1371.3951046466827
6,96,9.6,12,0,16,17,10,13,15,21,19,21,14,19,15,20,13,17,14,15,17,21,0.12391147852097513,0.9570064905535937,10.507354856002655,10,12,9.691666666666666,12.458333333333332,0.964768935185185,0.12458333333333334,0.8156881893359879,0.0671854812358214,0.007762444631591388,0.0006718548123582117,10,12.333333333333334,0.9570268518518518,0.12333333333333334,9.666666666666666,60,440522424025,100,1141.268884420395,12.583333333333334,0.9670374999999998,0.12583333333333332,8.666666666666666,61,238603274742,100,927.8428401947021,12.5,0.9574657407407405,0.125,9.916666666666666,62,558972734419,100,1166.12308883667,12.416666666666666,0.9750092592592589,0.12416666666666666,8.75,63,246004124312,100,1011.7404599189758,12.5,0.9690143518518518,0.125,10.333333333333334,64,975157925650,100,1003.9215190410614,12.5,0.9644217592592591,0.125,9.416666666666666,65,413543509143,100,1085.68119430542,12.416666666666666,0.9506648148148147,0.12416666666666666,10.666666666666666,66,504724348874,100,1214.567398071289,12.416666666666666,0.9607180555555553,0.12416666666666666,11.0,67,873361574649,100,1131.7070171833038,12.416666666666666,0.9716189814814815,0.12416666666666666,8.5,68,230720433789,100,982.4402058124542,12.5,0.974712037037037,0.125,10.0,69,561937272461,100,1025.095547914505,10690.388155698776,1214.9980850219727
7,178,17.8,12,0,11,18,13,18,9,19,9,14,13,14,11,17,14,21,18,21,0,0,0.18459914586034112,0.9695656075634408,15.804748102023442,0,0,14.983333333333334,18.525,0.9748820105820105,0.18525,0.8214147686901071,0.06508541396588864,0.005316403018569686,0.0006508541396588873,10,18.5,0.9811840277777777,0.185,14.25,70,440522424025,100,806.3599853515625,18.5,0.9708065476190475,0.185,14.5,71,238603274742,100,753.9201712608337,18.5,0.9783310185185183,0.185,16.25,72,558972734419,100,703.6708045005798,18.5,0.9733133267195766,0.185,16.0,73,246004124312,100,784.9968123435974,18.583333333333332,0.9714136904761902,0.18583333333333332,13.75,74,975157925650,100,800.4318380355835,18.583333333333332,0.9820944113756612,0.18583333333333332,14.833333333333334,75,413543509143,100,712.9415380954742,18.5,0.9663194444444442,0.185,15.666666666666666,76,504724348874,100,885.8973526954651,18.666666666666668,0.9807744708994708,0.18666666666666668,14.0,77,873361574649,100,703.2627098560333,18.416666666666668,0.9759284060846559,0.18416666666666667,15.583333333333334,78,230720433789,100,769.8628704547882,18.5,0.9686547619047617,0.185,15.0,79,561937272461,100,860.7046051025391,7782.048687696457,886.3126437664032
8,172,17.2,12,0,19,21,19,21,10,12,17,20,19,20,15,20,16,18,13,21,0,0,0.10379398867041671,0.9557567020974713,9.265857223509125,0,0,8.408333333333333,10.416666666666668,0.9636317708333332,0.10416666666666667,0.8575238901757909,0.037267799624996364,0.00787506873586186,0.0003726779962499643,10,10.333333333333334,0.9666825810185183,0.10333333333333333,8.833333333333334,80,440522424025,100,855.4858238697052,10.416666666666666,0.9612719907407407,0.10416666666666667,7.416666666666667,81,238603274742,100,867.8872122764587,10.5,0.9775396412037036,0.105,8.0,82,558972734419,100,665.4045906066895,10.416666666666666,0.9650260416666665,0.10416666666666667,10.416666666666666,83,246004124312,100,771.5454671382904,10.416666666666666,0.9497549189814812,0.10416666666666667,8.916666666666666,84,975157925650,100,965.0100021362305,10.416666666666666,0.9641197916666664,0.10416666666666667,7.833333333333333,85,413543509143,100,873.9759755134583,10.416666666666666,0.9566056134259256,0.10416666666666667,8.0,86,504724348874,100,840.7570540904999,10.416666666666666,0.9660422453703702,0.10416666666666667,9.0,87,873361574649,100,868.6247451305389,10.416666666666666,0.9735792824074071,0.10416666666666667,7.5,88,230720433789,100,719.6863794326782,10.416666666666666,0.9556956018518515,0.10416666666666667,8.166666666666666,89,561937272461,100,946.5434107780457,8374.920660972595,965.3872444629669
9,147,14.7,12,0,11,15,15,18,10,21,19,21,15,17,14,19,18,19,16,21,13,21,0.19246383490566196,0.9696322581550996,15.779106452205623,15,21,15.058333333333332,19.325,0.9754555723905722,0.19325,0.7207731188722903,0.07861650943380515,0.005823314235472675,0.0007861650943380423,10,19.166666666666668,0.9702789772727272,0.19166666666666668,14.5,90,440522424025,100,989.1110610961914,19.416666666666668,0.9782828282828282,0.19416666666666665,15.333333333333334,91,238603274742,100,741.9298839569092,19.25,0.9675879840067338,0.1925,14.25,92,558972734419,100,959.5853254795074,19.416666666666668,0.9870708333333333,0.19416666666666665,15.416666666666666,93,246004124312,100,575.0435693264008,19.333333333333332,0.9732550084175084,0.19333333333333333,16.083333333333332,94,975157925650,100,764.6044447422028,19.333333333333332,0.9711975168350166,0.19333333333333333,15.416666666666666,95,413543509143,100,876.3802754878998,19.333333333333332,0.9744903409090908,0.19333333333333333,14.916666666666666,96,504724348874,100,854.476470708847,19.416666666666668,0.9719867213804714,0.19416666666666665,16.0,97,873361574649,100,810.8349106311798,19.25,0.9765629419191917,0.1925,15.0,98,230720433789,100,863.3346393108368,19.333333333333332,0.9838425715488215,0.19333333333333333,13.666666666666666,99,561937272461,100,677.6450843811035,8112.9456651210785,989.1155676841736
10,106,10.6,12,0,9,12,13,20,9,18,18,21,14,19,19,21,19,21,18,21,15,18,0.1764114785209751,0.9673490633662366,14.407000835188727,12,21,13.808333333333334,17.708333333333336,0.9728443959435626,0.17708333333333331,0.5986675018553934,0.06718548123582095,0.005495332577326024,0.0006718548123582108,10,17.666666666666668,0.963296869488536,0.17666666666666667,13.916666666666666,100,440522424025,100,1341.0176293849945,17.75,0.9741397266313934,0.1775,13.916666666666666,101,238603274742,100,1097.5488591194153,17.75,0.9729320987654322,0.1775,13.0,102,558972734419,100,1073.4185121059418,17.666666666666668,0.966905114638448,0.17666666666666667,14.083333333333334,103,246004124312,100,1193.5778906345367,17.666666666666668,0.9817516313932979,0.17666666666666667,15.166666666666666,104,975157925650,100,1093.2278594970703,17.666666666666668,0.9679711640211638,0.17666666666666667,13.25,105,413543509143,100,1325.3480949401855,17.833333333333332,0.9703995149911815,0.17833333333333334,13.833333333333334,106,504724348874,100,1183.0467092990875,17.75,0.9743611552028218,0.1775,13.083333333333334,107,873361574649,100,1107.2788734436035,17.583333333333332,0.9793505291005289,0.17583333333333334,14.166666666666666,108,230720433789,100,1070.1309604644775,17.75,0.9773361552028218,0.1775,13.666666666666666,109,561937272461,100,1064.3731427192688,11548.968531608582,1341.0224957466125
11,89,8.9,12,0,15,21,11,17,10,17,9,16,16,21,12,18,17,19,16,21,18,21,0.18393768940959435,0.9713378312419622,16.50621832097641,18,21,15.341666666666669,18.508333333333333,0.9755751984126985,0.18508333333333332,1.1645516543097414,0.11456439237389644,0.004237367170736281,0.0011456439237389645,10,18.5,0.9717030423280424,0.185,16.916666666666668,110,440522424025,100,1162.2296278476715,18.666666666666668,0.9818240740740738,0.18666666666666668,13.083333333333334,111,238603274742,100,803.4459133148193,18.583333333333332,0.9768496031746032,0.18583333333333332,15.166666666666666,112,558972734419,100,941.0016353130341,18.5,0.9766325396825396,0.185,16.75,113,246004124312,100,945.9163691997528,18.583333333333332,0.9825537037037038,0.18583333333333332,15.5,114,975157925650,100,812.6855521202087,18.666666666666668,0.9762267195767194,0.18666666666666668,14.833333333333334,115,413543509143,100,900.0036764144897,18.5,0.9692794973544971,0.185,13.75,116,504724348874,100,1164.7544152736664,18.333333333333332,0.9705576719576718,0.18333333333333332,15.333333333333334,117,873361574649,100,1117.2651159763336,18.333333333333332,0.9771006613756613,0.18333333333333332,15.75,118,230720433789,100,927.2318336963654,18.416666666666668,0.9730244708994709,0.18416666666666667,16.333333333333332,119,561937272461,100,1096.8046860694885,9871.33882522583,1165.133837223053
12,147,14.7,12,1,11,15,15,16,10,20,18,21,15,17,14,16,18,19,16,21,13,21,0.16766666666666669,0.966890763484694,14.890967364599085,15,20,13.65,16.866666666666667,0.9726078009259258,0.1686666666666667,1.2409673645990855,0.1,0.0057170374412317615,0.0009999999999999994,10,16.833333333333332,0.9715888888888886,0.16833333333333333,14.166666666666666,120,440522424025,100,839.6544768810272,17.0,0.9801428240740739,0.17,13.166666666666666,121,238603274742,100,575.2422676086426,16.916666666666668,0.9670013888888886,0.16916666666666666,11.75,122,558972734419,100,811.0148286819458,16.833333333333332,0.9782226851851851,0.16833333333333333,14.75,123,246004124312,100,805.2445182800293,16.833333333333332,0.9706868055555555,0.16833333333333333,12.916666666666666,124,975157925650,100,838.1264727115631,16.75,0.9677055555555553,0.1675,12.666666666666666,125,413543509143,100,948.5123188495636,16.833333333333332,0.9634113425925923,0.16833333333333333,14.166666666666666,126,504724348874,100,970.7288601398468,16.833333333333332,0.9698381944444442,0.16833333333333333,15.916666666666666,127,873361574649,100,907.719310760498,16.75,0.9764064814814812,0.1675,12.25,128,230720433789,100,823.4779286384583,17.083333333333332,0.9810738425925924,0.17083333333333334,14.75,129,561937272461,100,553.2452435493469,8072.966226100922,971.2314171791077
13,197,19.7,12,1,16,20,15,17,9,17,15,21,9,11,12,17,13,21,11,13,12,21,0.2291138958682741,0.9630652946114648,20.072159798279422,12,20,19.083333333333332,22.96666666666667,0.9669079012345676,0.22966666666666669,0.9888264649460883,0.05527707983925674,0.003842606623102734,0.0005527707983925727,10,23.0,0.9656282407407406,0.23,19.083333333333332,130,440522424025,100,1301.00683426857,23.0,0.9667729166666665,0.23,17.416666666666668,131,238603274742,100,1317.9532735347748,23.0,0.9699462962962961,0.23,19.416666666666668,132,558972734419,100,1127.7075057029724,22.833333333333332,0.958795447530864,0.22833333333333333,19.083333333333332,133,246004124312,100,1501.3131561279297,22.916666666666668,0.9697051697530862,0.22916666666666666,19.333333333333332,134,975157925650,100,1245.1771874427795,23.0,0.9643801697530863,0.23,18.0,135,413543509143,100,1312.4431502819061,22.916666666666668,0.962865586419753,0.22916666666666666,17.916666666666668,136,504724348874,100,1342.7163727283478,23.0,0.9719210648148149,0.23,20.166666666666668,137,873361574649,100,1161.6541333198547,23.0,0.9686665895061726,0.23,20.75,138,230720433789,100,1155.9691469669342,23.0,0.9703975308641974,0.23,19.666666666666668,139,561937272461,100,1146.602869272232,12612.543629646301,1501.7413313388824
14,48,4.8,12,1,12,13,11,18,13,17,9,20,17,20,14,16,14,18,18,21,0,0,0.10672351491139363,0.9614129551396886,9.065331908068922,0,0,8.441666666666666,10.791666666666666,0.9667443444865318,0.10791666666666666,0.6236652414022552,0.11931517552730286,0.005331389346843166,0.0011931517552730298,10,10.583333333333334,0.9648587061087059,0.10583333333333333,8.416666666666666,140,440522424025,100,1052.4050102233887,10.75,0.951851476070226,0.1075,8.0,141,238603274742,100,1283.4086287021637,10.833333333333334,0.9715280784030783,0.10833333333333334,9.083333333333334,142,558972734419,100,974.4555711746216,11.0,0.9677901785714285,0.11,9.0,143,246004124312,100,934.3362944126129,10.833333333333334,0.9678532723063973,0.10833333333333334,9.0,144,975157925650,100,1004.0338079929352,10.833333333333334,0.967844366281866,0.10833333333333334,8.833333333333334,145,413543509143,100,1133.6151263713837,10.833333333333334,0.968104332010582,0.10833333333333334,8.666666666666666,146,504724348874,100,1023.0382759571075,10.833333333333334,0.9663254193722943,0.10833333333333334,6.916666666666667,147,873361574649,100,968.9411628246307,10.583333333333334,0.9705221109908608,0.10583333333333333,8.083333333333334,148,230720433789,100,991.9553587436676,10.833333333333334,0.9707655047498797,0.10833333333333334,8.416666666666666,149,561937272461,100,974.7721407413483,10340.96137714386,1284.0373480319977
15,174,17.4,12,1,19,20,19,21,10,12,17,18,19,20,15,21,16,18,13,21,0,0,0.09566666666666668,0.9470938941344906,8.143263724392217,0,0,7.425,9.591666666666665,0.9564686053240739,0.09591666666666668,0.7182637243922163,0.024999999999999644,0.009374711189583261,0.00024999999999999746,10,9.583333333333334,0.96255787037037,0.09583333333333334,7.75,150,440522424025,100,853.5984027385712,9.583333333333334,0.9552705439814811,0.09583333333333334,6.5,151,238603274742,100,1053.8584332466125,9.666666666666666,0.9703964120370367,0.09666666666666666,5.916666666666667,152,558972734419,100,801.5034825801849,9.583333333333334,0.9572280092592589,0.09583333333333334,7.75,153,246004124312,100,896.3966579437256,9.583333333333334,0.9396874999999996,0.09583333333333334,7.5,154,975157925650,100,1153.1113331317902,9.583333333333334,0.9576142939814813,0.09583333333333334,7.5,155,413543509143,100,1045.1787531375885,9.583333333333334,0.9505381944444442,0.09583333333333334,8.25,156,504724348874,100,992.0207984447479,9.583333333333334,0.9503747106481479,0.09583333333333334,7.083333333333333,157,873361574649,100,1079.1991384029388,9.583333333333334,0.9718648726851848,0.09583333333333334,8.416666666666666,158,230720433789,100,853.5473463535309,9.583333333333334,0.9491536458333328,0.09583333333333334,7.583333333333333,159,561937272461,100,1111.3839015960693,9839.79824757576,1153.5721018314362
16,106,10.6,12,1,13,20,9,18,18,21,14,19,19,21,19,21,15,18,12,21,0,0,0.15247247476834802,0.9702028242760025,13.173058069218502,0,0,12.083333333333334,15.4,0.9740701058201056,0.15399999999999997,1.0897247358851685,0.15275252316519466,0.0038672815441031265,0.001527525231651948,10,15.333333333333334,0.9727391975308641,0.15333333333333332,12.583333333333334,160,440522424025,100,859.5819478034973,15.25,0.9692771715167547,0.1525,13.5,161,238603274742,100,872.6984133720398,15.25,0.9717310956790123,0.1525,12.0,162,558972734419,100,869.4936966896057,15.333333333333334,0.968820271164021,0.15333333333333332,11.25,163,246004124312,100,830.7025866508484,15.666666666666666,0.9754663249559081,0.15666666666666668,10.666666666666666,164,975157925650,100,720.6896810531616,15.5,0.9752872023809523,0.155,10.333333333333334,165,413543509143,100,737.3921587467194,15.416666666666666,0.9743675595238095,0.15416666666666667,11.416666666666666,166,504724348874,100,764.9791927337646,15.5,0.9790049052028216,0.155,12.333333333333334,167,873361574649,100,662.6870954036713,15.166666666666666,0.9721714616402115,0.15166666666666667,13.333333333333334,168,230720433789,100,823.1169652938843,15.583333333333334,0.9818358686067017,0.15583333333333332,13.416666666666666,169,561937272461,100,588.4014666080475,7729.74320435524,873.1476516723633
