,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_5,utilization_rate_5,delivery_rate_5,num_risks_5,unique_id_5,seed_5,requests_per_hour_5,execution_time_5,num_delivered_6,utilization_rate_6,delivery_rate_6,num_risks_6,unique_id_6,seed_6,requests_per_hour_6,execution_time_6,num_delivered_7,utilization_rate_7,delivery_rate_7,num_risks_7,unique_id_7,seed_7,requests_per_hour_7,execution_time_7,num_delivered_8,utilization_rate_8,delivery_rate_8,num_risks_8,unique_id_8,seed_8,requests_per_hour_8,execution_time_8,num_delivered_9,utilization_rate_9,delivery_rate_9,num_risks_9,unique_id_9,seed_9,requests_per_hour_9,execution_time_9,sequential_execution_time,execution_time
0,136,13.6,12,0,15,19,9,14,11,21,15,18,13,20,15,21,13,16,11,18,9,15,19,21,0.2116988373664787,0.9714450327701983,18.586754783655987,16.758333333333333,21.6,0.9790137235449736,0.21600000000000003,0.6094738167742181,0.1433720877840439,0.0025228969249250894,0.0014337208778404348,10,21.75,0.9800781084656084,0.2175,16.416666666666668,0,569613879239,100,808.3099484443665,21.5,0.9765913359788361,0.215,16.833333333333332,1,708682768404,100,856.2594478130341,21.333333333333332,0.9774154100529099,0.21333333333333335,17.833333333333332,2,247132414502,100,907.5631885528564,21.583333333333332,0.9750185185185185,0.21583333333333332,16.0,3,780083440065,100,960.7250764369965,21.833333333333332,0.9809632936507935,0.21833333333333332,16.0,4,310682302572,100,779.8301773071289,21.75,0.9778730158730159,0.2175,16.666666666666668,5,446895463330,100,827.3743631839752,21.5,0.9809976190476191,0.215,17.416666666666668,6,241991647942,100,785.3636999130249,21.5,0.979610648148148,0.215,16.083333333333332,7,505057523268,100,852.4364507198334,21.583333333333332,0.9774483465608463,0.21583333333333332,17.0,8,197879524397,100,832.0018262863159,21.666666666666668,0.9841409391534389,0.21666666666666667,17.333333333333332,9,906673039186,100,721.3238079547882,8331.18798661232,961.6114213466644
1,86,8.6,12,0,9,20,19,20,17,21,11,18,17,21,14,21,13,16,10,15,16,21,0,0,0.16877131413101534,0.9529901650284218,16.035104579494647,13.525,17.28333333333333,0.9728286876703542,0.17283333333333334,0.8367015264982157,0.13540064007726574,0.006612840880644129,0.0013540064007726634,10,17.083333333333332,0.9726600328683662,0.17083333333333334,13.333333333333334,10,569613879239,100,920.9367678165436,17.333333333333332,0.9689213096574206,0.17333333333333334,12.666666666666666,11,708682768404,100,834.8708696365356,17.333333333333332,0.9814877879322322,0.17333333333333334,13.416666666666666,12,247132414502,100,787.8874926567078,17.25,0.9602262038373149,0.1725,13.083333333333334,13,780083440065,100,942.6595447063446,17.583333333333332,0.9775449468227246,0.17583333333333334,13.583333333333334,14,310682302572,100,814.248105764389,17.25,0.9798500013361122,0.1725,15.5,15,446895463330,100,787.643089056015,17.166666666666668,0.9658421984394207,0.17166666666666666,12.583333333333334,16,241991647942,100,957.0406451225281,17.416666666666668,0.9771945980973756,0.17416666666666666,13.583333333333334,17,505057523268,100,912.6709415912628,17.25,0.967371666399444,0.1725,14.5,18,197879524397,100,808.864271402359,17.166666666666668,0.9771881313131314,0.17166666666666666,13.0,19,906673039186,100,818.0474655628204,8584.869193315506,957.1507759094238
2,173,17.3,12,0,12,21,14,19,17,19,10,16,12,13,12,18,18,20,17,21,16,21,19,21,0.17307721249376654,0.9528099448179236,16.31816045786875,13.9,17.59166666666667,0.9668702006172836,0.17591666666666667,0.8060534859562503,0.09464847243000465,0.00468675193311998,0.0009464847243000464,10,17.583333333333332,0.966818209876543,0.17583333333333334,14.083333333333334,20,569613879239,100,889.0478258132935,17.5,0.9657674382716047,0.175,15.083333333333334,21,708682768404,100,883.6836824417114,17.5,0.9738918209876543,0.175,13.75,22,247132414502,100,849.428200006485,17.666666666666668,0.961166820987654,0.17666666666666667,13.5,23,780083440065,100,913.8817775249481,17.75,0.9607851851851852,0.1775,12.916666666666666,24,310682302572,100,885.7270078659058,17.666666666666668,0.967070833333333,0.17666666666666667,13.833333333333334,25,446895463330,100,802.0182049274445,17.583333333333332,0.97065,0.17583333333333334,15.583333333333334,26,241991647942,100,765.3554983139038,17.666666666666668,0.9747654320987653,0.17666666666666667,13.166666666666666,27,505057523268,100,773.8994171619415,17.583333333333332,0.9655041666666664,0.17583333333333334,13.166666666666666,28,197879524397,100,896.3313899040222,17.416666666666668,0.962282098765432,0.17416666666666666,13.916666666666666,29,906673039186,100,974.6179497241974,8633.990953683853,974.7253501415253
3,43,4.3,12,0,11,20,16,18,17,21,9,11,16,18,12,15,10,16,10,12,12,21,0,0,0.11299999999999999,0.9548078622795951,10.448484188862817,8.708333333333332,11.775,0.9724627914951987,0.11775,0.5800502851764948,0.15833333333333316,0.005884976405201158,0.001583333333333336,10,11.75,0.9602940672153635,0.1175,8.083333333333334,30,569613879239,100,1176.441086769104,11.833333333333334,0.9732124485596706,0.11833333333333333,8.916666666666666,31,708682768404,100,965.1770656108856,11.833333333333334,0.9813520233196158,0.11833333333333333,8.333333333333334,32,247132414502,100,884.1171822547913,11.583333333333334,0.9674511316872425,0.11583333333333333,9.916666666666666,33,780083440065,100,1083.8630373477936,12.166666666666666,0.9745481824417008,0.12166666666666667,8.833333333333334,34,310682302572,100,930.5443158149719,11.75,0.9683350480109739,0.1175,8.666666666666666,35,446895463330,100,1084.4644544124603,11.583333333333334,0.9722779492455417,0.11583333333333333,7.666666666666667,36,241991647942,100,996.4009654521942,11.75,0.9777203360768174,0.1175,8.666666666666666,37,505057523268,100,942.5966939926147,11.833333333333334,0.9788605967078189,0.11833333333333333,8.833333333333334,38,197879524397,100,932.8033716678619,11.666666666666666,0.9705761316872427,0.11666666666666667,9.166666666666666,39,906673039186,100,1119.1692655086517,10115.57743883133,1176.4450805187225
4,195,19.5,12,0,10,15,13,16,14,15,13,16,16,21,17,21,13,19,15,18,0,0,0,0,0.12439150471698585,0.9472712675654513,12.69002177347057,9.883333333333331,12.675,0.9599012152777776,0.12675,0.9355628133790791,0.07861650943380497,0.0042099825707754245,0.000786165094338052,10,12.666666666666666,0.9596273148148147,0.12666666666666668,9.833333333333334,40,569613879239,100,861.9495153427124,12.583333333333334,0.9532384259259259,0.12583333333333332,10.833333333333334,41,708682768404,100,1036.9946677684784,12.583333333333334,0.9570260416666665,0.12583333333333332,9.083333333333334,42,247132414502,100,1016.0901064872742,12.75,0.9585324074074073,0.1275,8.75,43,780083440065,100,913.3863356113434,12.833333333333334,0.9622077546296295,0.12833333333333333,9.25,44,310682302572,100,871.6744072437286,12.75,0.9665995370370368,0.1275,11.916666666666666,45,446895463330,100,823.4086763858795,12.666666666666666,0.9617667824074073,0.12666666666666668,10.166666666666666,46,241991647942,100,916.5978879928589,12.666666666666666,0.9549039351851849,0.12666666666666668,10.333333333333334,47,505057523268,100,937.3664140701294,12.666666666666666,0.9664218749999998,0.12666666666666668,8.833333333333334,48,197879524397,100,920.5784935951233,12.583333333333334,0.9586880787037036,0.12583333333333332,9.833333333333334,49,906673039186,100,913.8881628513336,9211.934667348862,1037.0799443721771
5,82,8.2,12,0,15,21,13,17,10,12,15,16,16,19,9,15,9,13,0,0,0,0,0,0,0.09146510454795023,0.9474432206488098,9.852104330903462,7.475,9.466666666666667,0.971679894179894,0.09466666666666666,0.7923681103011542,0.10671873729054766,0.008078891177028065,0.0010671873729054772,10,9.583333333333334,0.9832506613756612,0.09583333333333334,7.0,50,569613879239,100,607.3939623832703,9.5,0.977281746031746,0.095,7.166666666666667,51,708682768404,100,780.8605463504791,9.416666666666666,0.960109126984127,0.09416666666666666,6.333333333333333,52,247132414502,100,796.1464545726776,9.5,0.9643683862433862,0.095,8.75,53,780083440065,100,808.5712406635284,9.583333333333334,0.984890873015873,0.09583333333333334,6.916666666666667,54,310682302572,100,708.6678235530853,9.333333333333334,0.9655423280423279,0.09333333333333334,6.916666666666667,55,446895463330,100,797.0698609352112,9.25,0.9735449735449734,0.0925,7.416666666666667,56,241991647942,100,852.5914709568024,9.5,0.9648478835978834,0.095,8.666666666666666,57,505057523268,100,777.9501078128815,9.583333333333334,0.9758201058201058,0.09583333333333334,7.166666666666667,58,197879524397,100,745.9346923828125,9.416666666666666,0.9671428571428569,0.09416666666666666,8.416666666666666,59,906673039186,100,708.3511238098145,7583.537283420563,852.6993901729584
6,128,12.8,12,0,18,21,11,14,9,15,19,21,10,13,12,18,10,17,12,15,0,0,0,0,0.12826154182871335,0.9549607189054964,13.528668628337961,10.583333333333332,13.216666666666665,0.9722687665343915,0.13216666666666668,0.9817784316682096,0.13017082793177764,0.005769349209631701,0.0013017082793177791,10,13.166666666666666,0.963882275132275,0.13166666666666665,11.25,60,569613879239,100,925.9574632644653,13.25,0.9766997354497353,0.1325,12.333333333333334,61,708682768404,100,794.9145984649658,13.166666666666666,0.9694039351851851,0.13166666666666665,8.666666666666666,62,247132414502,100,914.9134168624878,13.5,0.985094246031746,0.135,11.083333333333334,63,780083440065,100,596.6159062385559,13.333333333333334,0.9708225859788359,0.13333333333333333,9.75,64,310682302572,100,900.5879821777344,13.166666666666666,0.9713864087301587,0.13166666666666665,11.416666666666666,65,446895463330,100,865.8074643611908,13.25,0.9743005952380951,0.1325,10.25,66,241991647942,100,840.7855596542358,13.0,0.9650512566137566,0.13,10.666666666666666,67,505057523268,100,990.2596454620361,13.25,0.9752546296296295,0.1325,10.666666666666666,68,197879524397,100,730.3723847866058,13.083333333333334,0.9707919973544972,0.13083333333333333,9.75,69,906673039186,100,895.2834603786469,8455.497881650925,990.3653311729431
7,180,18.0,12,0,18,21,10,13,19,21,17,21,17,18,11,12,10,16,11,14,0,0,0,0,0.09481588560730847,0.9378242264161436,9.592652269561976,7.724999999999999,9.64166666666667,0.9568287037037034,0.09641666666666668,0.6225507565206588,0.05335936864527334,0.006334825762519945,0.0005335936864527347,10,9.666666666666666,0.960671296296296,0.09666666666666666,7.75,70,569613879239,100,875.0220372676849,9.666666666666666,0.9619618055555553,0.09666666666666666,7.333333333333333,71,708682768404,100,799.9448976516724,9.583333333333334,0.9575839120370369,0.09583333333333334,6.5,72,247132414502,100,889.3799304962158,9.583333333333334,0.9417910879629628,0.09583333333333334,7.25,73,780083440065,100,1030.836128950119,9.666666666666666,0.9513483796296294,0.09666666666666666,7.833333333333333,74,310682302572,100,898.8006980419159,9.583333333333334,0.9600781249999998,0.09583333333333334,8.833333333333334,75,446895463330,100,830.9000015258789,9.583333333333334,0.9576273148148144,0.09583333333333334,7.916666666666667,76,241991647942,100,826.832790851593,9.75,0.9653009259259258,0.0975,8.166666666666666,77,505057523268,100,812.3631196022034,9.666666666666666,0.9590422453703702,0.09666666666666666,7.333333333333333,78,197879524397,100,833.6306138038635,9.666666666666666,0.9528819444444442,0.09666666666666666,8.333333333333334,79,906673039186,100,840.5855662822723,8638.29578447342,1030.959759235382
8,109,10.9,12,0,17,18,18,21,13,21,12,14,18,21,17,18,17,19,0,0,0,0,0,0,0.07440419776138643,0.9244498925810958,8.532730836224234,6.458333333333334,7.691666666666667,0.9582729828042327,0.07691666666666666,0.6914658342969666,0.08374896350934077,0.011274363407712311,0.0008374896350934078,10,7.583333333333333,0.9567146164021162,0.07583333333333334,7.0,80,569613879239,100,794.6758778095245,7.75,0.9681316137566135,0.0775,6.333333333333333,81,708682768404,100,708.5309889316559,7.75,0.9711359126984125,0.0775,7.0,82,247132414502,100,695.0609455108643,7.75,0.9521808862433863,0.0775,6.666666666666667,83,780083440065,100,811.9592862129211,7.75,0.9659755291005289,0.0775,5.0,84,310682302572,100,805.7409417629242,7.5,0.9299421296296293,0.075,7.166666666666667,85,446895463330,100,904.1684350967407,7.666666666666667,0.9667873677248676,0.07666666666666666,5.416666666666667,86,241991647942,100,753.2474768161774,7.75,0.957275132275132,0.0775,7.0,87,505057523268,100,768.9721167087555,7.75,0.9612648809523806,0.0775,6.75,88,197879524397,100,809.2161362171173,7.666666666666667,0.953321759259259,0.07666666666666666,6.25,89,906673039186,100,820.9759402275085,7872.548145294189,904.2918121814728
9,151,15.1,12,0,11,16,18,21,16,21,14,21,18,21,12,21,19,21,13,21,9,12,17,21,0.20023753109471976,0.9682528525175241,18.375451458527692,15.683333333333334,20.275,0.9779010108024689,0.20274999999999999,0.89737270839812,0.08374896350934016,0.003216052761648267,0.0008374896350934097,10,20.25,0.9823910934744265,0.2025,15.333333333333334,90,569613879239,100,770.400964975357,20.333333333333332,0.9837363425925923,0.20333333333333334,16.0,91,708682768404,100,753.0213513374329,20.333333333333332,0.9775943783068783,0.20333333333333334,15.0,92,247132414502,100,792.9741058349609,20.333333333333332,0.9750908840388005,0.20333333333333334,16.333333333333332,93,780083440065,100,905.5028886795044,20.416666666666668,0.9793481371252204,0.20416666666666666,15.916666666666666,94,310682302572,100,852.2124297618866,20.25,0.9758425374779541,0.2025,17.583333333333332,95,446895463330,100,828.0289607048035,20.166666666666668,0.9788145943562612,0.20166666666666666,15.0,96,241991647942,100,853.5735950469971,20.166666666666668,0.9750051036155203,0.20166666666666666,14.75,97,505057523268,100,963.0854601860046,20.333333333333332,0.978334479717813,0.20333333333333334,16.416666666666668,98,197879524397,100,783.8246989250183,20.166666666666668,0.9728525573192239,0.20166666666666666,14.5,99,906673039186,100,878.7826011180878,8381.407056570053,963.1931757926941
