,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
16,18,1.8,5,1,10,13,11,12,9,13,11,14,9,13,12,14,11,13,11,14,9,10,0.1822718916479935,0.8772676670868056,10.097933001553187,0,0,7.68,11.24,0.9374675925925924,0.22479999999999997,0.8059776671843958,0.7088018058667741,0.020066641835262244,0.014176036117335485,5,11.4,0.9396939300411522,0.228,8.8,80,176125337656,50,241.78495931625366,11.4,0.9661445473251027,0.228,7.2,81,172463627866,50,189.30810856819153,12.4,0.9190689300411523,0.248,6.6,82,345200359899,50,285.5174915790558,10.4,0.9508281893004114,0.208,7.4,83,210514558348,50,226.22928309440613,10.6,0.911602366255144,0.212,8.4,84,307126938023,50,292.28538036346436,1235.1252229213715,292.4393322467804
17,37,3.7,5,1,10,14,11,13,10,14,9,13,10,12,11,14,0,0,0,0,0,0,0.21881935987640877,0.9456635966756965,12.734890540808877,0,0,9.88,12.8,0.9717561728395061,0.256,0.9516301802696254,0.6196773353931866,0.008697525387936502,0.012393546707863745,5,12.8,0.9571489197530864,0.256,10.4,85,176125337656,50,157.68126440048218,12.4,0.9767631172839506,0.248,10.2,86,172463627866,50,137.16012263298035,14.0,0.9813618827160494,0.28,8.0,87,345200359899,50,110.44370603561401,12.4,0.9668788580246913,0.248,10.6,88,210514558348,50,144.25495505332947,12.4,0.976628086419753,0.248,10.2,89,307126938023,50,128.29412579536438,677.8341739177704,157.68888545036316
18,57,5.7,5,1,11,14,10,12,11,14,9,11,10,12,12,14,0,0,0,0,0,0,0.21022002227174252,0.9374931380134913,11.823331864904269,0,0,8.040000000000001,10.959999999999999,0.9620169753086418,0.2192,1.2611106216347556,0.14966629547095714,0.008174612431716827,0.002993325909419156,5,11.0,0.9586651234567901,0.22,8.0,90,176125337656,50,133.73186373710632,10.8,0.969128086419753,0.216,8.6,91,172463627866,50,127.30927872657776,11.2,0.9504938271604937,0.224,7.4,92,345200359899,50,141.15471577644348,10.8,0.958503086419753,0.216,6.2,93,210514558348,50,135.5006787776947,11.0,0.9732947530864197,0.22,10.0,94,307126938023,50,113.95882630348206,651.6553633213043,141.27429103851318
19,85,8.5,5,1,12,14,9,13,11,14,9,13,12,14,9,11,9,11,11,12,11,14,0.3777093172397521,0.9322856433326472,17.886656410232135,0,0,15.719999999999999,20.2,0.9615164609053496,0.404,0.7222188034107119,0.43817804600413296,0.00974360585756745,0.00876356092008264,5,20.8,0.9727597736625513,0.416,14.6,95,176125337656,50,147.47039222717285,20.0,0.9667746913580246,0.4,16.8,96,172463627866,50,161.7696657180786,20.6,0.9659927983539094,0.412,16.0,97,345200359899,50,152.91648244857788,20.0,0.9573739711934155,0.4,15.4,98,210514558348,50,167.75193119049072,19.6,0.9446810699588476,0.392,15.8,99,307126938023,50,197.42209434509277,827.3305659294128,197.43765664100647
20,114,11.4,5,1,12,13,9,10,12,13,11,12,11,14,9,11,10,11,11,14,11,14,0.30156367385196114,0.9180249868909058,17.502996137473204,11,12,11.16,15.959999999999999,0.9459509259259257,0.31920000000000004,2.1143320458244017,0.293938769133981,0.009308646345006624,0.005878775382679633,5,16.0,0.9491574074074072,0.32,10.4,100,176125337656,50,168.2911729812622,16.0,0.956560185185185,0.32,12.2,101,172463627866,50,158.16077780723572,16.2,0.9434305555555553,0.324,12.4,102,345200359899,50,166.8819296360016,15.4,0.9293425925925926,0.308,13.4,103,210514558348,50,184.99627494812012,16.2,0.9512638888888887,0.324,7.4,104,307126938023,50,160.1297571659088,838.4599125385284,185.13479661941528
21,18,1.8,5,1,12,14,11,13,10,11,10,13,12,14,10,12,10,11,9,10,0,0,0.11756367385196112,0.863305784214595,5.871979899370592,0,0,4.279999999999999,6.76,0.9152673611111108,0.13520000000000001,0.530659966456864,0.29393876913398126,0.017320525632171926,0.005878775382679633,5,6.8,0.9354398148148146,0.136,5.0,105,176125337656,50,204.4371452331543,6.8,0.909230324074074,0.136,3.6,106,172463627866,50,241.77834343910217,7.0,0.8902719907407406,0.14,4.8,107,345200359899,50,256.48525071144104,6.2,0.9343518518518517,0.124,4.0,108,210514558348,50,192.80343317985535,7.0,0.907042824074074,0.14,4.0,109,307126938023,50,245.2624065876007,1140.7665791511536,256.4978713989258
22,41,4.1,5,1,10,14,10,13,10,14,11,13,9,10,0,0,0,0,0,0,0,0,0.17756367385196112,0.9140733722881662,8.976263447079205,0,0,7.640000000000001,9.760000000000002,0.9618037037037036,0.19519999999999998,0.4454211490264018,0.29393876913398115,0.01591011047184579,0.005878775382679624,5,10.0,0.9684583333333332,0.2,7.2,110,176125337656,50,127.09184074401855,9.6,0.9596249999999997,0.192,7.8,111,172463627866,50,145.47870087623596,10.2,0.9847592592592591,0.204,8.4,112,345200359899,50,118.81308054924011,9.4,0.9355694444444443,0.188,7.6,113,210514558348,50,157.05951285362244,9.6,0.9606064814814814,0.192,7.2,114,307126938023,50,140.31599259376526,688.7591276168823,157.20759296417236
23,13,1.3,5,1,9,11,12,14,11,14,10,11,11,12,11,13,11,13,0,0,0,0,0.09332240804049935,0.8994143883336075,6.034048070021882,0,0,3.0800000000000005,5.4799999999999995,0.9452777777777778,0.10959999999999999,0.9846826900072937,0.2712931993250106,0.01528779648139008,0.005425863986500214,5,5.4,0.9232473544973544,0.108,2.0,115,176125337656,50,223.7491490840912,6.0,0.9546759259259258,0.12,3.6,116,172463627866,50,152.22285079956055,5.4,0.9466997354497355,0.108,4.2,117,345200359899,50,175.35905480384827,5.2,0.9346031746031744,0.104,1.8,118,210514558348,50,203.18962240219116,5.4,0.9671626984126982,0.108,3.8,119,307126938023,50,148.68933820724487,903.210015296936,223.75808548927307
24,19,1.9,5,2,12,14,9,11,10,11,10,14,12,13,9,11,11,12,12,13,0,0,0.11534331561081032,0.884354246850335,7.081638793925097,0,0,4.640000000000001,6.88,0.9257968749999999,0.1376,0.8138795979750322,0.37094473981982823,0.013814209383221598,0.007418894796396558,5,6.4,0.9235243055555555,0.128,4.6,120,176125337656,50,201.65807104110718,6.6,0.9113194444444442,0.132,3.2,121,172463627866,50,208.38471674919128,7.4,0.9502256944444443,0.148,5.2,122,345200359899,50,164.39024782180786,6.8,0.9294791666666664,0.136,5.6,123,210514558348,50,183.113920211792,7.2,0.9144357638888887,0.144,4.6,124,307126938023,50,223.330730676651,980.8776865005493,223.65517282485962
25,17,1.7,5,2,10,11,9,11,12,13,10,13,9,10,9,11,12,14,9,12,0,0,0.12526687370800102,0.8459863014244992,7.333993318477237,0,0,4.639999999999999,6.8,0.9339791666666665,0.136,0.8979977728257459,0.17888543819998334,0.029330955080722452,0.0035777087639996667,5,7.0,0.9496585648148146,0.14,4.6,125,176125337656,50,201.37058019638062,7.0,0.9194791666666666,0.14,3.4,126,172463627866,50,238.04686188697815,6.6,0.889878472222222,0.132,6.2,127,345200359899,50,294.2383337020874,6.6,0.9775694444444443,0.132,4.6,128,210514558348,50,153.85093450546265,6.8,0.933310185185185,0.136,4.4,129,307126938023,50,212.8741683959961,1100.380878686905,294.2578544616699
