,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
10,109,10.9,5,0,11,14,10,14,11,14,12,14,10,14,11,14,0,0,0.1749033370452904,0.9674481873410032,13.302586398650021,0,0,0,0,0,0,12.76,17.64,0.9717353395061729,0.17639999999999997,0.5425863986500212,0.14966629547095825,0.004287152165169662,0.0014966629547095778,5,17.4,0.971994598765432,0.174,13.2,50.0,502805748326.0,100.0,177.77447056770325,17.6,0.9718248456790124,0.176,13.2,51.0,156299688289.0,100.0,176.02298140525818,17.6,0.9725655864197531,0.176,13.2,52.0,469100661221.0,100.0,169.7601044178009,17.8,0.9778703703703703,0.178,12.2,53.0,733295057794.0,100.0,157.34389853477478,17.8,0.9644212962962962,0.178,12.0,54.0,717263017026.0,100.0,179.83922576904297,860.7406806945801,179.99497389793396
11,83,8.3,5,0,9,10,11,14,9,12,12,14,11,14,12,14,12,13,0.12982020410288672,0.9359272889979607,11.294108003776296,0,0,0,0,0,0,10.720000000000002,13.080000000000002,0.9508981481481481,0.1308,0.574108003776293,0.09797958971132678,0.014970859150187331,0.000979795897113272,5,13.0,0.9483201058201057,0.13,11.6,55.0,502805748326.0,100.0,265.91936135292053,13.2,0.9753769841269843,0.132,11.0,56.0,156299688289.0,100.0,217.08908319473267,13.0,0.9282208994708994,0.13,10.8,57.0,469100661221.0,100.0,329.8235547542572,13.0,0.9516137566137566,0.13,10.2,58.0,733295057794.0,100.0,249.03239917755127,13.2,0.9509589947089945,0.132,10.0,59.0,717263017026.0,100.0,262.01840257644653,1323.8828010559082,330.0601863861084
12,56,5.6,5,1,10,11,10,12,10,12,11,13,11,13,9,13,0,0,0.10090333704529043,0.9551784391834677,7.5434813257969155,0,0,0,0,0,0,6.68,10.24,0.9634814814814814,0.1024,0.863481325796916,0.1496662954709579,0.008303042298013732,0.0014966629547095733,5,10.4,0.9699884259259256,0.104,7.8,60.0,502805748326.0,100.0,182.76140451431274,10.2,0.9568634259259259,0.102,7.6,61.0,156299688289.0,100.0,217.05815935134888,10.0,0.9743055555555554,0.1,5.6,62.0,469100661221.0,100.0,186.4340741634369,10.4,0.9646064814814813,0.104,6.2,63.0,733295057794.0,100.0,224.2422788143158,10.2,0.9516435185185185,0.102,6.2,64.0,717263017026.0,100.0,253.33049941062927,1063.8264162540436,253.68284058570862
13,154,15.4,5,1,10,13,9,11,9,12,9,11,10,13,11,14,10,12,0.17759999999999998,0.9652944528482346,14.700804411759115,0,0,0,0,0,0,12.959999999999999,17.84,0.9703703703703704,0.17839999999999998,1.7408044117591157,0.07999999999999971,0.0050759175221358945,0.0008000000000000007,5,17.8,0.9634391534391534,0.178,11.6,65.0,502805748326.0,100.0,228.48991060256958,17.8,0.9653902116402117,0.178,13.2,66.0,156299688289.0,100.0,213.4582016468048,18.0,0.974728835978836,0.18,10.6,67.0,469100661221.0,100.0,180.8503885269165,17.8,0.9720899470899471,0.178,15.6,68.0,733295057794.0,100.0,199.765727519989,17.8,0.9762037037037038,0.178,13.8,69.0,717263017026.0,100.0,187.2023890018463,1009.7666172981262,228.62954378128052
14,59,5.9,5,1,9,13,11,12,12,13,12,14,12,14,12,14,12,14,0.11073508893593266,0.9354800461866165,8.497115117564972,0,0,0,0,0,0,7.3199999999999985,11.2,0.9509761904761902,0.11200000000000002,1.1771151175649728,0.12649110640673528,0.015496144289573638,0.0012649110640673528,5,11.0,0.9328075396825394,0.11,6.6,0.0,502805748326.0,100.0,256.4909782409668,11.2,0.9435912698412697,0.112,8.0,1.0,156299688289.0,100.0,247.09393095970154,11.4,0.970079365079365,0.114,5.8,2.0,469100661221.0,100.0,170.6921317577362,11.2,0.9688690476190474,0.112,9.2,3.0,733295057794.0,100.0,207.30467081069946,11.2,0.9395337301587301,0.112,7.0,4.0,717263017026.0,100.0,253.7316551208496,1135.3133668899536,0.001529693603515625
15,59,5.9,5,1,9,13,11,12,12,13,12,14,12,14,12,14,12,14,0.11073508893593266,0.9354800461866165,8.497115117564972,0,0,0,0,0,0,7.3199999999999985,11.2,0.9509761904761902,0.11200000000000002,1.1771151175649728,0.12649110640673528,0.015496144289573638,0.0012649110640673528,5,11.0,0.9328075396825394,0.11,6.6,0.0,502805748326.0,100.0,256.4909782409668,11.2,0.9435912698412697,0.112,8.0,1.0,156299688289.0,100.0,247.09393095970154,11.4,0.970079365079365,0.114,5.8,2.0,469100661221.0,100.0,170.6921317577362,11.2,0.9688690476190474,0.112,9.2,3.0,733295057794.0,100.0,207.30467081069946,11.2,0.9395337301587301,0.112,7.0,4.0,717263017026.0,100.0,253.7316551208496,1135.3133668899536,0.0013515949249267578
16,82,8.2,5,1,9,10,10,13,9,10,11,12,10,11,12,14,9,13,0.11120000000000001,0.9238005986055676,9.239999999999998,0,0,0,0,0,0,8.36,11.28,0.939664021164021,0.11280000000000001,0.8799999999999998,0.16000000000000023,0.015863422558453445,0.0016000000000000014,5,11.4,0.9473611111111111,0.114,7.4,70.0,502805748326.0,100.0,262.9251699447632,11.4,0.9559424603174601,0.114,9.6,71.0,156299688289.0,100.0,231.5909287929535,11.0,0.9145899470899469,0.11,7.6,72.0,469100661221.0,100.0,320.32891511917114,11.2,0.9278703703703702,0.112,9.2,73.0,733295057794.0,100.0,295.4973313808441,11.4,0.9525562169312167,0.114,8.0,74.0,717263017026.0,100.0,231.8372926712036,1342.1796379089355,320.71296787261963
17,190,19.0,5,1,10,11,11,14,9,12,12,14,11,14,12,14,0,0,0.13960000000000003,0.9500443394321493,11.920799680255742,0,0,0,0,0,0,10.919999999999998,14.040000000000001,0.9548086419753087,0.14040000000000002,1.0007996802557444,0.07999999999999971,0.0047643025431594235,0.0007999999999999896,5,14.0,0.9585108024691359,0.14,11.0,75.0,502805748326.0,100.0,193.00888419151306,14.0,0.9512422839506173,0.14,10.4,76.0,156299688289.0,100.0,212.75394344329834,14.0,0.9623225308641974,0.14,12.4,77.0,469100661221.0,100.0,187.55720901489258,14.0,0.950162037037037,0.14,11.4,78.0,733295057794.0,100.0,225.24074244499207,14.2,0.9518055555555556,0.142,9.4,79.0,717263017026.0,100.0,200.5707905292511,1019.1315696239471,225.50882291793823
18,15,1.5,5,1,12,13,9,10,9,12,9,12,11,13,9,12,9,11,0.06690333704529043,0.9184202264627532,5.148331477354788,0,0,0,0,0,0,4.4,6.840000000000001,0.9364629629629629,0.0684,0.7483314773547881,0.14966629547095778,0.018042736500209745,0.0014966629547095778,5,7.0,0.9106283068783069,0.07,4.4,80.0,502805748326.0,100.0,472.4323649406433,6.8,0.9294708994708994,0.068,4.0,81.0,156299688289.0,100.0,383.20554518699646,6.8,0.928260582010582,0.068,3.6,82.0,469100661221.0,100.0,373.3063757419586,6.6,0.9580753968253968,0.066,5.8,83.0,733295057794.0,100.0,297.768789768219,7.0,0.9558796296296296,0.07,4.2,84.0,717263017026.0,100.0,303.5701241493225,1830.28319978714,472.57833528518677
19,185,18.5,5,1,9,12,10,11,9,11,9,11,10,14,10,11,11,14,0.22,0.948702729191341,16.967174264961134,11,14,9,12,0,0,15.959999999999999,22.0,0.9524675925925925,0.22000000000000003,1.007174264961134,0.0,0.003764863401251507,2.7755575615628914e-17,5,22.0,0.9504038065843621,0.22,15.2,85.0,502805748326.0,100.0,299.7072813510895,22.0,0.9560210905349794,0.22,17.8,86.0,156299688289.0,100.0,274.0471382141113,22.0,0.9571579218106994,0.22,15.0,87.0,469100661221.0,100.0,271.88851737976074,22.0,0.9519161522633746,0.22,15.6,88.0,733295057794.0,100.0,308.4244267940521,22.0,0.9468389917695473,0.22,16.2,89.0,717263017026.0,100.0,304.4951219558716,1458.5624856948853,308.6964113712311
