,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
10,106,10.6,5,0,9,10,10,13,9,13,12,14,11,13,12,13,12,14,0.37556221040720683,0.9349440756888475,16.89786227139239,12,13,11,12,10,14,14.559999999999999,19.52,0.9550027777777776,0.39039999999999997,1.1689311356961958,0.3709447398198283,0.01002935104446508,0.00741889479639657,5,19.6,0.9618379629629628,0.392,15.2,50.0,440522424025.0,50.0,164.08816933631897,19.2,0.9435787037037036,0.384,14.4,51.0,238603274742.0,50.0,187.7213625907898,19.4,0.9626249999999998,0.388,16.4,52.0,558972734419.0,50.0,167.48501467704773,19.2,0.9420185185185185,0.384,13.8,53.0,246004124312.0,50.0,199.66742324829102,20.2,0.9649537037037035,0.404,13.0,54.0,975157925650.0,50.0,143.6786208152771,862.6405906677246,199.83592295646667
11,89,8.9,5,0,11,14,9,11,9,12,9,12,11,14,10,12,12,13,0.42096163282309385,0.9447038395088793,19.615450927611956,11,14,12,14,12,14,16.759999999999998,21.439999999999998,0.9586712962962963,0.4288,1.4277254638059793,0.19595917942265487,0.006983728393708544,0.003919183588453089,5,21.2,0.9499444444444445,0.424,15.6,55.0,440522424025.0,50.0,206.86746907234192,21.4,0.9701574074074072,0.428,16.6,56.0,238603274742.0,50.0,174.03070664405823,21.4,0.9624537037037036,0.428,15.4,57.0,558972734419.0,50.0,179.98545789718628,21.4,0.9555879629629629,0.428,19.4,58.0,246004124312.0,50.0,190.29816508293152,21.8,0.9552129629629629,0.436,16.8,59.0,975157925650.0,50.0,185.68881511688232,936.8706138134003,206.87371158599854
12,147,14.7,5,1,10,12,9,12,11,14,11,13,10,13,11,12,0,0,0.2596515233806698,0.9468643517068557,14.015029812455065,0,0,0,0,0,0,11.080000000000002,13.679999999999998,0.9632067901234567,0.2736,1.4675149062275317,0.34871191548325403,0.008171219208300481,0.006974238309665083,5,13.8,0.9676311728395062,0.276,13.4,60.0,440522424025.0,50.0,98.46266078948975,13.0,0.9473765432098765,0.26,10.6,61.0,238603274742.0,50.0,150.14646768569946,14.0,0.9705787037037036,0.28,10.2,62.0,558972734419.0,50.0,97.08379983901978,13.8,0.9659953703703703,0.276,12.0,63.0,246004124312.0,50.0,106.8087706565857,13.8,0.9644521604938271,0.276,9.2,64.0,975157925650.0,50.0,104.8478307723999,557.3495297431946,150.1539328098297
13,197,19.7,5,1,11,12,9,12,11,14,9,10,10,12,10,13,9,10,0.4,0.9381643827543716,17.591983935678197,10,13,9,12,0,0,15.6,20.0,0.9421471193415638,0.4,0.9959919678390985,0.0,0.0019913682935960675,0.0,5,20.0,0.9442849794238684,0.4,15.4,65.0,440522424025.0,50.0,182.94047045707703,20.0,0.9392952674897119,0.4,16.2,66.0,238603274742.0,50.0,194.14972305297852,20.0,0.9415072016460905,0.4,14.0,67.0,558972734419.0,50.0,196.7959840297699,20.0,0.9411213991769548,0.4,17.0,68.0,246004124312.0,50.0,194.33820247650146,20.0,0.9445267489711934,0.4,15.4,69.0,975157925650.0,50.0,183.18638610839844,951.4107661247253,197.05644917488098
14,51,5.1,5,1,10,13,12,13,10,11,10,13,0,0,0,0,0,0,0.1149403557437306,0.9345945305437482,6.09175061635108,0,0,0,0,0,0,4.5200000000000005,6.0,0.9679722222222221,0.12,0.7858753081755399,0.12649110640673528,0.01668884583923697,0.0025298221281347018,5,6.0,0.9601157407407406,0.12,4.8,70.0,440522424025.0,50.0,108.01094436645508,6.0,0.9895138888888888,0.12,3.8,71.0,238603274742.0,50.0,81.24777674674988,6.2,0.9855787037037037,0.124,5.8,72.0,558972734419.0,50.0,89.51162600517273,6.0,0.9581249999999998,0.12,4.6,73.0,246004124312.0,50.0,96.08148336410522,5.8,0.9465277777777777,0.116,3.6,74.0,975157925650.0,50.0,117.28037357330322,492.13220405578613,117.29582285881042
15,172,17.2,5,1,11,14,9,13,12,13,11,13,11,12,10,13,10,12,0.32,0.9446102321950508,15.725400478856102,0,0,0,0,0,0,12.76,16.0,0.961531746031746,0.32,1.4827002394280513,0.0,0.008460756918347589,0.0,5,16.0,0.955806878306878,0.32,12.2,75.0,440522424025.0,50.0,119.86797404289246,16.0,0.9771494708994709,0.32,11.6,76.0,238603274742.0,50.0,96.40576243400574,16.0,0.9606084656084656,0.32,14.8,77.0,558972734419.0,50.0,112.50211977958679,16.0,0.9525661375661374,0.32,11.0,78.0,246004124312.0,50.0,128.6138277053833,16.0,0.9615277777777776,0.32,14.2,79.0,975157925650.0,50.0,115.19147562980652,572.5811595916748,128.86400699615479
16,106,10.6,5,1,10,12,10,11,9,11,11,13,12,13,12,14,12,13,0.26104244923464076,0.9041057098530193,14.812225832782241,10,14,0,0,0,0,10.879999999999999,13.64,0.9389062499999998,0.27280000000000004,1.966112916391121,0.2939387691339817,0.01740027007349026,0.005878775382679633,5,13.8,0.9394618055555554,0.276,11.0,80.0,440522424025.0,50.0,174.2807652950287,13.2,0.9107031249999998,0.264,9.2,81.0,238603274742.0,50.0,210.86564302444458,13.8,0.9493663194444444,0.276,9.4,82.0,558972734419.0,50.0,165.14167165756226,14.0,0.9626822916666664,0.28,10.2,83.0,246004124312.0,50.0,152.42742252349854,13.4,0.9323177083333332,0.268,14.6,84.0,975157925650.0,50.0,175.08128476142883,877.7967872619629,210.875821352005
17,51,5.1,5,1,10,14,9,12,12,14,10,12,10,13,11,12,12,14,0.24744244923464073,0.9515863441103473,12.81686835740738,0,0,0,0,0,0,10.2,12.959999999999999,0.9660687830687831,0.2592,1.3084341787036902,0.293938769133981,0.007241219479217917,0.005878775382679633,5,13.0,0.9672585978835978,0.26,12.0,85.0,440522424025.0,50.0,145.32049703598022,12.4,0.9613624338624339,0.248,9.8,86.0,238603274742.0,50.0,159.910560131073,13.2,0.9661772486772486,0.264,11.2,87.0,558972734419.0,50.0,137.88854026794434,13.2,0.9569841269841269,0.264,8.2,88.0,246004124312.0,50.0,150.42254900932312,13.0,0.9785615079365079,0.26,9.8,89.0,975157925650.0,50.0,125.04541945457458,718.5875658988953,160.1938509941101
18,97,9.7,5,1,12,14,9,11,9,10,9,10,11,14,10,13,11,14,0.3208445824720007,0.9440991376212631,14.573725447800742,12,13,12,14,0,0,12.760000000000002,16.4,0.9606059670781892,0.328,0.9068627239003704,0.17888543819998412,0.008253414728463089,0.0035777087639996667,5,16.4,0.9644958847736623,0.328,11.4,90.0,440522424025.0,50.0,166.892644405365,16.2,0.9545884773662551,0.324,14.2,91.0,238603274742.0,50.0,180.70657539367676,16.6,0.9488117283950616,0.332,13.0,92.0,558972734419.0,50.0,179.74513840675354,16.6,0.9727263374485595,0.332,12.8,93.0,246004124312.0,50.0,144.0458812713623,16.2,0.9624074074074075,0.324,12.4,94.0,975157925650.0,50.0,162.68778133392334,834.0780208110809,180.71537852287292
19,171,17.1,5,1,10,11,12,14,9,11,9,12,9,13,9,10,10,14,0.4,0.9433593732902127,19.50307130824939,9,10,11,13,0,0,15.919999999999998,20.0,0.954355967078189,0.4,1.7915356541246945,0.0,0.005498296893988198,0.0,5,20.0,0.9573173868312757,0.4,15.0,95.0,440522424025.0,50.0,171.1505835056305,20.0,0.9578369341563785,0.4,17.2,96.0,238603274742.0,50.0,159.10029435157776,20.0,0.957085905349794,0.4,17.2,97.0,558972734419.0,50.0,163.55285382270813,20.0,0.9561239711934155,0.4,12.8,98.0,246004124312.0,50.0,169.28656363487244,20.0,0.9434156378600823,0.4,17.4,99.0,975157925650.0,50.0,183.59309720993042,846.6833925247192,183.998286485672
